,coffee_title,roaster,coffee_origin_country,coffee_variety,roast_level,description,aroma_desrciptor
12, Honey Catuai,Goldkind,Panama,"Arabica, Catuai",Hell,"In dieser Tasse bekommt man ein Aroma von Haselnuss und Milchschokolade mit einem feinen, eleganten Körper, sowie einer angenehmen Süße im Nachgeschmack. Dieser Kaffee eignet sich sehr gut als Basis für Milchkaffee und überrascht positiv als Filterkaffee. Finca Hartmann wird von 5 Geschwistern geführt, von denen jeder einen Bereich der Kaffeeproduktion abdeckt, angefangen von der Aufzucht der Kaffeepflanzen bis hin zur Quality Control und Logistik. Ein tolles Beispiel für qualitätsbewusste, nachhaltige Kaffeeproduktion.","Haselnuss, Karamell"
13, Blu,Prem Frischkaffee,"30% Brasilien, 30% Honduras, 20% Ecuador, 20% Ecuador (Robusta)","80% Arabica, 20% Robusta",Dunkel,"Ein toller moderner Italiener. Was heißt das? Oft sind „italienische"" Blends sehr dunkel, fast schon ölig, geröstet. Nicht aber dieser Blend. Er schmeckt rund, vollmundig, kräftig schokoladig aber auf keinen Fall bitter. Egal ob als Cappuccino oder als Espresso, ob für den Vollautomat oder für den Siebträger, er hat schon sehr viele Liebhaber. ","Walnuss, Kakao"
14," Omnino Canephora, 3006",Rauwolf,Elk Hill Farm,Indien,NaN,"Die Nummer 3006 von Michael Parzefall ist ein reinsortiger, gewaschener Robusta aus Indien. Dieser hochwertige Canephora besticht im Espresso mit einer intensiven Fülle am Gaumen, einen kräftigen Körper ohne zu stark geröstet zu sein und einer vollmundigen Aromatik nach Kakaonibs, Malz und zart erdig. Die dichte und massige Crema beintruckt jeden Freund von italienischen Espresso.",Robusta
15," Fructus Jasminum, 3003",Rauwolf,Äthiopien,"Arabica, Heirlooms",Hell,"Dieser äthiopische Arabica ist unglaublich floral, schmeckt nach Jasminblüten mit Anklängen von Zitrusfrüchten und einer ausgewogenen Fruchtsäure. Kleinfarmer bauen in der Region Nensebo in Äthiopien uralte Varietäten, sogenannte Heirlooms, an. Nur vollreife Kaffeekirschen werden von Hand geerntet, bevor sie in der Gora Kone Washing Station auf typischen afrikanischen Trockenbetten in der Sonne getrocknet werden.","Orange, Jasmin"
16, Caturra,Goldkind,Panama,"Arabica, Caturra",Hell,"Dieser trocken aufbereitete Caturra wird auf der Finca Bonita Springs auf etwa 1.300m Seehöhe, angebaut und wächst inmitten von Urwald und Bananenstauden. In der Nase zeigt er ein sehr süßes, etwas blumiges Aroma. Am Gaumen schmeckt er intensiv nach Erdbeere, mit Noten von Vanille und zarten Gewürzen. Vor allem als Filterkaffee aber auch im Cappuccino kommt die Süße dieser Aufbereitung besonders zur Geltung.","Trockenfrüchte, Erdbeere"
17, Cignobianco,Gardelli,"Guatemala,  Äthiopien","Arabica, Caturra,  Heirlooms",Mittel,"Dieser Kaffee wird zwar von einem Italiener in Italien geröstet, ist aber gar nicht „klassisch italienisch"". Der einzige Espresso-Blend von Röstweltmeister Rubens Gardelli vereint angenehme dunkelschokoladige Aromatik, mit einem vollen Körper und einem sehr langen Abgang. Dieses Gleichgewicht und die wunderbare Süße erinnern an die Anmut und Eleganz des weißen Schwans; „cigno bianco"". ","Milchschokolade, Mandel"
18, Red,Prem Frischkaffee,"30% Brasilien, 40% Guatemala, 30% Ecuador (Robusta)","70% Arabica, 30% Robusta",Dunkel,"Eine gelungene Symbiose eines klassisch, kräftigen, italienischen Espressostils mit einer modernen Röstphilosophie von Michael Prem. Ein kräftig, schokoladiger, säurearmer Espresso mit einer tollen Note von gerösteten Haselnüssen und Bitterschokolade. Super vollmundiger Espresso in der Siebträgermaschine, Mokkakanne oder im Vollautomaten. ","Schokolade, Nuss"
19, Brownie,Prem Frischkaffee,"50% Ecuador, 25% Honduras, 25% Brasilien",Arabica,Mittel,"Dieser Arabicablend, größtenteils aus Ecuador, sowie Honduras und Brasilien fühlt sich sehr schokoladig und angenehm rund am Gaumen an. Er hat einen ausgeprägten Körper und wird von einer dezenten Nussnote und einer angenehm eleganten Säure begleitet. ",Schokolade
20, Emilia,Kanzi Kaffee,"Guatemala, Honduras, El Salvador, Brasilien, Kolumbien,  Indien","75% Arabica, 25% Robusta",Dunkel,Die tempramentvolle Emilia ist die elegante unter den klassischen Espresso-Blends. Oliver und Doris Kanzi schaffen es den kraftvollen Körper eines typischen norditalienischen Espresso gepaart mit einer cremigen Vollmundigkeit in die Tasse zu bringen.,"Schokolade, Kakao"
21," Brasil, Bio",Stoll,Brasilien,"Arabica, Acaia, Catucai, Mundo Novo, Bourbon, Icatu",Mittel,"In der dritten Generation kultivieren Ricardo de Aguiar Resende und seine Frau Gisele biologisch-zertifizierte Kaffeesträucher auf insgesamt 250 Hektar. Auf ihrer Farm im Distrikt Minas Gerais werden sehr behutsam ursprüngliche Pflanzen wieder in die Flora integriert und gleichzeitig laufen alle Schritte der Kaffeeproduktion auf dem modernsten technischen und ökologischen Niveau. Die schokoladige Typizität seiner brasilianischen Herkunft prägen diesen Kaffee, der besonders als Verlängerter seine Eleganz zeigt.","Schokolade, Walnuss"
22, Gembopresso Bio,Merchant & Friends,Äthiopien,"Arabica, Heirlooms",Dunkel,Der Gembopresso ist ein biologischer Arabica aus der Region Sidamo in Äthiopien. Er überzeugt durch sein kakao-nussigen Körper der nicht zu bitter wird als Espresso und besonder als Verlängerter. Ein vollmundiger Kaffee für jeden Tag.,"Nougat, Kakao"
23, Boji,Kaffemik,Äthiopien,"Arabica, Heirlooms",Hell,"Boji ist der Name einer Washing Station in der Kochere Region, in der Nähe der Stadt Yirgacheffe im Südwesten Äthiopiens. Die Kaffeekirschen werden, je nach Wetterlage, nach der händischen Ernte zirka 2 bis 3 Wochen getrocknet, wobei sie stündlich gewendet werden, um ein besonders hochwertiges Ergebnis zu erzielen. Die „natural"" Aufbereitung ergibt ein besonders süßes Geschmackserlebnis, mit intensiven beerigen Noten nach Heidelbeeren und Roibuschtee und einem sehr langen Abgang.","Heidelbeere, Cascara"
24," Ruanda, Umusazi natural",Wildkaffee,Ruanda,"Arabica, Red Bourbon, Jackson",Hell,"Das besondere an diesem Kaffee ist, dass er der erste natural aufbereitete Kaffee aus Ruanda ist. Während der Ernte desletzten Jahres kaufte die Community Coffee Rwanda von sechs verschiedenen Gemeinden im Distrikt Ngororero von 174 Bauern Kaffeekirschen ein. Nach der Anlieferung der Ernte werden die Kaffeekirschen zunächst gewaschen und anschließend in zwei Kategorien - A und B sortiert. Dieser Umusazi Natural wurde zusätzlich 72 Stunden in Tanks fermentiert, 32 Tage getrocknet und anschließend drei Mal sortiert.","Nougat, Manderine"
25," Mundatia Herbarius, 2001",Rauwolf,"Brasilien, Guatemala, Kolumbien, Äthiopien",Arabica,Hell,"Wir haben es selbst nicht geglaubt. Wie kann ein Kaffee kräutrig schmecken? Aber durch seine Herkunft und seine elegante Röstung, kommen sehr harmonische Noten von getrockneten Kräutern zum Vorschein. Dunkle Schokolade am Gaumen und ein mildes Säurespiel geben ihm seinen ausbalancierten, mittelkräftigen Körper. Sehr spannend im Vollautomaten und harmoniert perfekt mit Milch. ",Kräuter
26, Santos,Suchan,Brasilien,"Arabica, Yellow Catuai",Mittel,"Diesen Single Origin Kaffee bezieht Peter Affenzeller über einen Wiener Partner direkt von der Fazenda Santa Lúcia aus Brasilien. Der reinsortige Arabica zeigt herkunftstypische Aromatik nach Kakao, Schokolade, Walnuss und zart würzig. Mittelkräftig geröstet ist der Santos, der nach der Hafenstadt in der Brasilien verlässt benannt ist, ein vollmundiger Verlängerter oder Filterkaffee nach traditionell Wiener Vorbild.","Walnuss, Kakao"
27, Triestina,Kanzi Kaffee,"Brasilien, Indien","75% Arabica, 25% Robusta",Dunkel,"Ein eleganter italienischer Espresso-Blend, wie man ihn in den Bars und Restaurants in Italien trinkt. Ein mittelkräftiger Espresso oder Lungo, mit ausgeprägten Haselnussnoten, einem vollen Körper, der mit einer leichten Fruchtigkeit am Gaumen endet. ","Haselnuss, Schokolade"
28," Dominikanische Republik, Santo Domingo Barahona",Alt Wien,Domenikanische Republik,"Arabica, Typica",Dunkel,"Der Santo Domingo von Alt Wien ist ein reinsortiger Arabica aus der Dominikanischen Republik in der Karibik der sich durch ein kakaoig, klassisch italienische Aroma auszeichnet. Der Körper ist für den reinsortigen Arabia typisch, zart und elegant. Durch die sehr säurearme Stilistik ist als klassischer italienischer Espressostil zu bezeichnen.",Kakao
29," Guatemala, Primavera Decaf",Süssmund,Guatemala,"Arabica, Bourbon, Catuaí, Caturra, Typica",Mittel,"Der koffeeinfreie Primavera von Norbert und Nikolaus ist ein selten ausgewogener und süß-aromatischer Kaffee, der durch seinen mittelkräftigen Omniroast in alle Zubereitunsmethoden überzeugt.","Nougat, Karamell"
30, Affenstark,Felix Kaffee,"Guatemala, Mexiko,  Uganda","Arabica 67, Robusta 33",Dunkel,"Der Affenstark von Felix ist ein sehr kräftiger Espresso Blend mit einem Drittel Robustaanteil. Er ist intensiv bitterschokoladig, schafft es dabei ohne Röstspitzerl balanciert zu bleiben. Ein sizilianischer Espressostil wie wir ihn uns wünschen.","Kakao, Walnuss"
31," Honduras, Bio",Stoll,Honduras,Arabica,Mittel,"Auf der Farm Santa Rosa, in Capucas, baut Omar Rodriguez mit seiner 1999 gegründeten Initiative „Cooperativa Cafetalera Capucas Limitada"" kurz COCAFCAL, Kaffee an. Auf Grund der guten Boden- und Klimaverhältnisse ist das Land um dieses kleine Dorf Copucas im Westen von Honduras ideal für den Kaffeeanbau. Dieser biologische Kaffee vereint eine „moderne"" zarte Frucht mit einem mittelkräftigen, „klassisch"" schokoladigen Körper. Sehr schön als Espresso oder im Vollautomaten zubereitet.","Brombeer, Schokolade"
32, Selektion Zwei,220Grad,"Brasilien, Kenia, Uganda","90% Arabica, SL28, SL34, Yellow Bourbon,  10% Robusta, Nganda Erecta",Mittel,"Diese kräftig-ostafrikanischen und nussig-südamerikanischen Arabicabohnen werden mit 10% Robustabohnen aus Uganda liebevoll zusammen cuvéetiert. Ein wunderbar schokoladiger Espresso oder vollmundiger Verlängerter mit einem mittelkräftig, cremigen Körper. Für den Vollautomaten wie auch für die Siebträgermaschine geeignet.",Schokolade
33," Mujeres Fuertes de Perija, organic",Süssmund,Kolumbien,"Arabica, Castillo, Caturra",Mittel,"Die Asociación de Mujeres Cafetera Plan Mil im Nord-Osten Kolumbien wurde vor über 20 Jarhen gegründet mit dem Ziel den Kokainanbau in der Region einzudämmen und insbesondere Frauen eine Arbeit und unabhängige Einkommensquelle zu bieten. Daher auch der Name ""Mujeres Fuertes"" was ""Starke Frauen"" bedeutet.","Walnuss, Schokolade"
34, Espresso Blend,Coffee Collective,"Brasilien 50,  Kolumbien 50","Arabica, Catuaí, Bourbon,  Caturra",Mittel,"Der Espresso Blend von Coffee Collective kombiniert eine möglichst klassische Aromatik nach Schokolade und Kakao mit feiner Frucht nach Melone und eine modernen Textur, getragen von einer eleganten Säure die einen langen Abgang bildet. Die Kaffees aus Brasilien, Kolumbien und Äthiopien werden in intensiver Zusammenarbeit mit den Bauern produziert und direkt bezogen. Ein Third-Wave Espresso für jeden Tag.","Nougat, Traube"
35," Espresso Blend, Demeter",Farmers Voice,"Brasilien, Guatemala","Arabica, Bourbon, Catuai, Typica, Red Iapar",Dunkel,Für den kakaoig-kräftigen Espresso von Farmers Voice werden Arabicas aus Brasilien und Guatemala geblendet. Die Kaffeefarmen Finca Camocim und Finca Isabel arbeiten seit Jahren naturnah nach biodiversen Arbeitsmethoden. Die Finca Isabel ist aktuell noch im Demeter-Zertifizierungsprozess.,"Kakao, würzig"
36, Panama Geisha,Goldkind,Panama,Geisha,Hell,"Geisha ist die Königin unter den Kaffeesorten - elegant, komplex, fruchtig-floral. Die Pflanze ist eigenwillig und sensibel und benötigt für ihre Aufzucht viel Pflege und Liebe. Sie wachst am liebsten mit ganz viel Platz und braucht extrem lange, bis sie die ersten Früchte schenkt. All diese Faktoren bedingen den hohen Preis, aber das Resultat ist es wert. Ein komplex, fruchtiger Kaffee den wir für Pour Over Filterkaffee empfehlen. Die nasse Aufbereitung (washed) födert ein sehr klares Aromenbild.","floral, Himbeere"
37, Ecuador,Prem Frischkaffee,Ecuador,"Arabica, Catuai, Caturra, Typica",Mittel,"Im Süden Ecuadors, in der Provinz Chinchipe wächst dieser sehr aromatische Kaffee. In liebevoller Handarbeit werden Kirschen geschält, sortiert, fehlerhafte Bohnen aussortiert, aufbereitet und kommen dann zu unserem leidenschaftlichen Röster und Barista Staatsmeister Michael Prem nach Wien. In der Tasse hat er einen mittelkräftigen Körper mit einem grandiosen, orangenzestigen Aroma im Abgang. ","Orange, Schokolade"
38," Indien Espresso, Demter",Farmers Voice,Indien,"Arabica, SL9",Mittel,Der Farmers Voice Indien Espresso ist ein reinsortiger Arabica der direkt von der Finca Paobs in Südindien kommt. Der Demeter-zertifizierte Espresso überzeugt uns mit einer nussigen Aromatik und einem kräftigen Körper ohne bitter-kantig zu werden. Ein ausgewogen kräftiger Espresso und vollmundiger Verlängerter.,"Nougat, Erdnuss"
39," Äthiopien, Harrar",220Grad,Äthiopien,"Arabica, Heirlooms",Dunkel,"Im Nordosten des Landes, in der Region Harar, wachsen bis auf 2100 Metern über dem Meeresspiegel Kaffeekirschen. Durch die kühlen Temperaturen in dieser Höhe reifen die Kirschen langsam und bilden komplexe, vielschichtige Aromen aus. Auch die Trocknungsphase nach der Ernte verstärkt dieses Aromenbild.","Nougat, Kakao"
40, Wilderer,Wildkaffee,"Brasilien 50, Kolumbien 30,  Indien 20","Arabica 80, Yellow Catuai, Caturra, Castillo, Peredenya,  Robusta 20, Old Paradenia",Dunkel,Der Wilderer aus dem Hause Wildkaffee ist ein kräftiger und sehr ausgewogener Espresso-Blend im italienischen Stil. Das Fünftel indischer Robusta bringt Körper und Struktur in die Tasse und rundet die Aromatik zart mit kakaoigen Noten ab. Ohne kräftige Röstaromen zeigt der Wilderer intensiv schokoladige Noten. Ein modern interpretierter klassischer Espresso-Blend.,"Kakao, Schokolade"
41," Jamaica, Blue Mountain",Alt Wien,Jamaika,"Arabica, Typica",Hell,"Auf dem Blue Mountain Peak sortieren Kaffeebauern sehr genau diesen seltenen Lagenkaffee. Die kühlen Passatwinde, die reduzierte Sonneneinstrahlung und die magmatischen porösen Böden verlangsamen die Entwicklung der Kaffeekirschen und führen zu einer Entwicklung eines ganz besonderen Aromas mit einer perfekten Balance ohne Ecken und Kanten. Sowohl im Filter als auch in der Espressozubereitung sehr angenehm rund mit Aromen nach Schokolade, Nougat und einen Hauch von Orange. Weil wir immer die Frische des Kaffees garantieren, kann es sein, dass es zu einer längeren Lieferzeit kommt.","Nougat, Orange"
42, Wildsau,Wildkaffee,"Brasilien 50, Guatemala 25, Äthiopien 25","Arabica, Yellow Catuai, Heirloom, Catimor",Mittel,Die Wildsau ist ein klassischer Arabica Blend mit schokoladigen Körper und feinen nussigen sowie würzigen Noten. Dieser ausgewogene Blend ist ein absoluter Allrounder mit mittelkräftigen Körper und überzeugt uns besonders in Kombination mit Milch als Cappuccino oder Cortado.,"Schokolade, Haselnuss"
43, Pinker Bourbon,Goldkind,Kolumbien,"Arabica, Pink Bourbon",Hell,Der Pinker Bourbon kommt aus Kolumbien und ist der erste Kaffee mit dem Uschi Zimmermann mit Goldkind Coffee ihre zweite Heimat verlässt. Die Finca La Maria produziert diesen trocken aufbereiteten Kaffee.,"Kirsche, Molasse"
44, Emmi,Felix Kaffee,"Guatemala, Brasilien, Rwanda,  Uganda","Arabica 90, Robusta 10",Mittel,"Die Emmi Espresso Blend gehört zu den alten Damen im Sortiment von Felix Kaffee und besticht durch ihre fast unauffällige Ausgewogenheit. Ein mittelkräftiger Kaffee der feinstens zwischen milchschokoladigen Noten, einer zarten Frucht nach Beeren, samtigen Bitterstoffen und einer schönen Länge abgestimmt ist. Perfekt als für Milchgetränke wie Cappuccino oder Flat White.","Milchschokolade, Heidelbeer"
45," Mzungo Project 20/21, Uganda",Gardelli,Uganda,"Arabica, SL14, Nyanzaland",Hell,"Im Osten Ugandas, in der Nähe der Sipi Wasserfälle wachsen auf 1900m Höhe die Kaffeebäume von Landwirt Alex. Die Arabicabohnen der Varietät Nyanzaland und SL14 werden nach einer völlig neuen und einzigartigen, natürlichen Methode verarbeitet „Gardelli natural"". Diese kleine Kaffeemenge hat ein erstaunliches und komplexes Geschmacksprofil, das man nicht so leicht vergessen wird. Natürlich verarbeiteter Kaffee, intensiv, süß, mit viel Weichsel und dunkler Schokolade - er ist ein köstlicher und erstaunlicher Vertreter der ugandischen Kaffeespezialitäten.","Weichsel, Schokolade"
46," Kolumbien, Bermudez Frutos Rojos",Alt Wien,Cauca,Kolumbien,NaN,"Diese Microlot ist ein einzigartiger, experimentieller, doppelt anaerob fermentierter Castillo, der von Diego Samuel Bermudez auf seiner Finca El Paraiso in der Region Causa angebaut wird. Dieser aufdringlich, fruchtige Filterkaffee zeigt die volle exotische Aromatik und Süße die durch Fermentationsprozesse in der Aufbereitung erreicht werden können.","Arabica, Castillo"
47," Brasil, Passeio",220Grad,Brasilien,"Arabica, Yellow Catuai",Dunkel,"Adolfo Henrique Vieira Ferreira baut in der Region Minas Gerais auf der Fazenda Passeio auf 1200m Höhe, im Südosten Brasiliens diese hochwertigen Yellow Catuai Bohnen an. Der Kaffee wird trocken (natural) aufbereitet, das heißt, nach der Ernte werden die Kaffeekirschen als Ganzes getrocknet. Während dieser Phase entsteht in der Bohne eine ausgeprägte Komplexität. Das Resultat ist ein sehr vollmundiger Kaffee, mit bitterschokoladiger Aromatik, cremiger Textur und einer angenehmen Süße. ","Mandel, Kakao"
48," Halo Espresso, bio",Coffee Collective,Äthiopien,"Arabica, Heirlooms",Mittel,"Der Halo Espresso ist ein wundervolles Beispiel für einen fruchtig-süßen, modernen Espresso. Die sehr feine Säurestruktur bringt Körper und viel Länge in den Espresso und die Aromatik schwankt im fruchtigen Spektrum des Aromarad zwischen Exotik wie Mango, Steinobst wie Pfirsich und Citrus Aromen wie Bergamotte.","Mango, Orange"
49," La Serrania, decaf",Keen Coffee,Kolumbien,"Arabica, Caturra, Castillo, Colombia",Hell,Die Arabica Varitäten für diesen koffeinfreien Kaffee wachsen auf 1750m in Kolumbien. Das Sugar Cane Verfahren nutzt ein Nebenprodukt der Zuckerrohrverarbeitung um in einer Fermentation das Koffeein abzubauen. Das geschieht regional vor Ort und sorgt für einen Erhalt der bohneneigenen Aromatik.,"Melone, Muscovado"
50," Mahembe, Ruanda",Keen Coffee,Ruanda,"Arabica, Red Bourbon",Hell,"Justin und sein Team verarbeiten Kaffeekirschen von kleinen Farmern aus der umliegenden Region. Dieser washed Red Bourbon von der Mahembe Washing Station in Ruanda bringt als Fitlerkaffee eine saftig, cremige Textur in die Tasse. Die intensive Aromatik nach Cassis, Zitruszeste und floralen Noten harmoniert mit einer besonders feinen Säurestruktur.","Ribisel, Grapefruit"
51, Carlos,Röstraum,El Salvador,"Arabica, Bourbon",Mittel,"Carlos von Röstraum ist ein Single-Origin Kaffee auf El Salvador. Dieser Bourbon wächst in Monte Cacahuatique auf 1100 - 1650m Seehöhe. Sein nussig-schokoladiger Körper bekommt durch den Fermentationsprozess eine fruchtige-Süße mit, die einen besonders harmonischen Espresso ergibt. Die feine Säure lässt in als modernen Espressostil erkennen und empfiehlt sich besonders für Cappuccini.","Nougat, Bratapfel"
52," Enciso, Bio",Coffee Collective,Kolumbien,"Arabica, Castillo, Caturra",Mittel,"Dieser biologisch produzierte Arabica der Varitäten Castillo und Caturra stammt von den Farmen Lusitania, La Isla und Villa Sofia der einheimischen Familie Enciso. Coffee Collective arbeitet seit 2018 direkt mit Edith und Wilson zusammen.","Cassis, Pfirsich"
53," Pedra Preta, Brasilien",Nomi Coffee,Brasilien,"Arabica, Arara",Mittel,Fazenda Pedra Preta ist eine Farm auf der Agroforstwirtschaft betrieben wird. Farmer Eduardo Ferreira de Sousa ist ein Pionier der regenerativen Landwirtschaft in Brasilien.,"Nougat, Schokolade"
54," Äthiopien, Yirgacheffe",220Grad,Äthiopien,Arabica. Heirlooms,Hell,Der Yirgacheffe der Familie Macheiner stammt aus Halo Beriti in Äthiopien. 520 Kleinbauern liefern der Halo Beriti Washing Station ihre Kaffeekirschen der tradionellen Varitäten - Heirlooms - zur Weiterverarbeitung an. ,"Zwetschke, Schwarztee"
55, Entkoffeiniert,Wildkaffee,Kolumbien,"Arabica, Caturra, Castillo",Mittel,"Diese Arabicabohnen werden mit dem „Sugarcane Verfahren"" im Ursprungsland entkoffeiniert. Wie der Name schon sagt, wird hier mit Rohrzucker entkoffeiniert. Ausschließlich mit natürlichen Lösungsmitteln, ohne Druck und daher sehr gut verträglich. In der Tasse ein vollmundiger Kaffee mit einem Hauch von Schokolade und Gewürzen. Perfekt für einen gut balancierten Verlängerten.","kräutrig, Schokolade"
56, Derartu,Röstraum,Äthiopien,"Arabica, Metu Bishari",Hell,Dieser fully-washed Arabica der seltenen Varität Metu Beshari stammt aus der Region Jimma in Äthiopien. Dort wächst er auch 2100m Seehöhe zu einem gehaltvollen und komplexen Kaffee.,"Pfirsich, Jasmin"
57, AeroPress Competition Coffee 2022 *limited*,Alt Wien,"Southern Huila, Pitalito",Kolumbien,Hell,Kaffee der AeroPress Meisterschaften 2022,"Arabica, Pink Bourbon"
58," Jaguara, Brazil",Keen Coffee,Brasilien,"Arabica, Yellow Catuai",Mittel,Die Zusammenarbeit mit der Familie Garcia von Keen Coffee startete 2016. Der Yellow Catuai von der Finca Jaguara war der erste Direct-Trade Kaffee von Rob und Bonne. Die intensive Zusammenarbeit zwischen Farmer und Röster ermöglich eine enge Abstimmung der Anforderungen und sorgt so für eine sukzessive Qualitätssteigerung.,"Walnuss, Karamell"
59," El Silencio, Kolumbien",Gardelli,Kolumbien,"Arabica, Castillo",Hell,Robinson Rivera kultiviert auf den 6ha der Finca El Silencio ausschließlich die Varität Castillo. Die Finca lieft in der Region Cauca auf 1700-1850m Seehöhe.,"Meline, Granatapfel"
60," Costa Rica, Anaerobic",Wildkaffee,Costa Rica,"Arabica, Catuai",Hell,La Montana ist der höchste Punkt der Alto Vapor. Dieser Bereich war lang schlecht zu erreichen und galt als zu kühl für den Kaffeeanbau. Durch die Klimaerwärmung entwickelte sich die Bergregion Alto Vapor aber zu einem für den Kaffeeanbau idealen Gebiet.,"Manderine, Wacholder"
