,coffee,cr_rating,coffee_origin,roaster,roaster_location,roast_level,aroma,acidity_structur,body,flavor,agtron,review,review_date,price_estimate
19,Ethiopia Sidamo Washed,93,"Bombe Village, Bensa District, Sidamo growing region, Ethiopia",MK Coffee Roasters,"Taipei, Taiwan",Medium-Light,9,9,8,9,52/87,"Richly and suavely bright, balanced. Milk chocolate, cedar, floral-toned vanilla, raspberry, hazelnut in aroma and cup. Very sweetly and lightly tart with gently bright acidity; satiny mouthfeel. Lightly drying but flavor-saturated finish leading with raspberry and vanilla.",August 2022,NT $650/225 grams
20,Papua New Guinea Baroida Estate Natural,93,"Eastern Highlands, Papua New Guinea",Red Rooster Coffee Roaster,"Floyd, Virginia",Medium-Light,9,8,9,9,55/85,"Buoyant, delicate, vivacious. A bouquet of flowers — rose, magnolia, more — plus lemon, sandalwood, fresh tobacco in aroma and cup. Sweet-tart in structure with a big, savory bottom. Syrupy but lively mouthfeel. Rich, sweet, balanced finish",August 2022,$22.00/12 ounces
21,Bean Series Ethiopia Guji Raro,93,"Guji Zone, Oromia Region, Ethiopia",St1 Cafe/Work Room,"Tainan City, Taiwan",Light,9,8,8,9,63/80,"Suavely bright, quietly lively, balanced. Tangerine, hazelnut, cedar, cashew, floral vanilla in aroma and cup. Sweetly tart in structure; roundly bright acidity. Plush, buoyant mouthfeel. Impressive finish",August 2022,NT $500/200 grams
22,El Salvador Monte Verde,92,"Monte Verde, Santa Ana Department, central El Salvador",Speedwell Coffee,"Plymouth, Massachusetts",Medium-Light,9,8,8,9,62/72,"Sweet-toned, straightforward, comfortable. Brown sugar, cocoa, gardenia, hazelnut, a hint of orange marmalade in aroma and cup. Balanced in structure, with gentle, round acidity; delicately plush mouthfeel. The exceptionally sweet finish consolidates around flowers, cocoa, hazelnut.",August 2022,$15.00/12 ounces
23,Colombia Laboyano,92,"Pitalito growing region, Huila Department, Colombia",Topeca Coffee Roasters,"Tulsa, Oklahoma",Medium-Light,9,8,8,9,56/78,"Bright but balanced; cleanly classic washed profile. Distinct apricot,
tangerine, cedar, caramel, almond in aroma and cup. Sweetly bright in structure with
smooth but decisive acidity; lightly syrupy, lively mouthfeel. Apricot dominates in a sweetly
rich, very long finish.",August 2022,$16.99/12 ounces
24,Pantan Musara Sumatra,94,"Aceh Province, Sumatra, Indonesia",JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,9,9,9,9,58/76,"Richly spice- and fruit-toned. Nectarine, clove, narcissus, cocoa nib, cedar in aroma and cup. Brightly sweet structure with vibrant, juicy acidity; full, syrupy-smooth mouthfeel. The balanced finish leads with notes of cocoa nib and nectarine, supported by clove, cedar and a hint of narcissus.",August 2022,$21.00/12 ounces
25,Sumatra Takengon Gayo Natural,94,"Aceh Province, Sumatra, Indonesia",Coffee By Design,"Portland, Maine",Light,9,9,9,9,62/80,"Gently fruit-toned, complex, multi-layered. Wild strawberry, honey, sandalwood, jasmine, fresh leather in aroma and cup. Sweetly tart structure with balanced, juicy acidity; very full, syrupy mouthfeel. The crisp finish centers on notes of strawberry and sandalwood with honey undertones.",August 2022,$21.50/16 ounces
26,Ethiopia Djimma Gera Anaerobic,93,"Djimmah, Oromia Region, Ethiopia",Coffee By Design,"Portland, Maine",Medium-Light,9,8,9,9,60/78,"High-toned, sweetly tart. Lychee, tamarind, dark chocolate, marjoram, fresh-cut oak in aroma and cup. Sweet-toned structure with gentle, round acidity; plush, creamy mouthfeel. Long, lingering finish with notes of dark chocolate and tamarind.",August 2022,$24.00/12 ounces
27,Colombia Los Pinos Robeiro Sarmiento,92,"Antioquia Department, Colombia",Coffee By Design,"Portland, Maine",Medium-Light,9,8,8,9,58/78,"Chocolaty, deep-toned. Baking chocolate, date, cedar, narcissus, almond in aroma and cup. Sweet structure with brisk acidity; velvety mouthfeel. The finish consolidates to notes of baking chocolate and cedar.",August 2022,$18.50/16 ounces
28,Vietnam Cau Dat Mercafe Lotus,90,"Cau Dat, southwest Vietnam",Peach Coffee Roasters,"St. Johns, Georgia",Medium-Light,8,8,8,8,54/72,"Richly sweet, chocolaty. Dark chocolate, hazelnut, date, gardenia, cedar in aroma and cup. Sweet-toned structure with gentle acidity; crisp, satiny mouthfeel. Chocolaty finish with undertones of hazelnut and cedar.",August 2022,$8.00/4 ounces
29,Nano Genji #7,95,"Agaro Gera, Jimma Zone, Oromia State, Ethiopia",JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,9,9,9,9,58/78,"Richly sweet, floral- and fruit-toned. Apricot, star jasmine, almond nougat, lemon balm, sandalwood in aroma and cup. Sweetly tart structure with delicately bright acidity; plush, syrupy mouthfeel. Long, lingering, flavor-laden finish.",July 2022,$19.00/12 ounces
30,Panama Auromar Camilina Geisha Natural,95,"Piedra Candela, Chiriqui Province, far western Panama",Dragonfly Coffee Roasters,"Henderson, Nevada",Medium-Light,9,9,9,9,60/78,"Delicately bright, resonantly floral. Narcissus, cardamom, honey, bergamot, marjoram in aroma and cup. Balanced, sweetly tart structure with vibrant acidity; lively, silky mouthfeel. The long, flavor-laden finish leads with notes of bittersweet citrus and narcissus in the short; cardamom and honey resurface in the long.",July 2022,$50.00/4 ounces
31,Tio Conejo Colombia,94,"Vereda Santa Rita, Manizales, Caldas, Colombia",JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,9,9,9,9,58/76,"Nuanced, bright, multi-layered, richly aromatic. Tangerine, lilac, sage, Bing cherry, caramelized walnut in aroma and cup. Sweetly bright structure with vibrant, balanced acidity; lively, satiny-smooth mouthfeel. The resonant finish centers around notes of tangerine and sage.",July 2022,$18.00/8 ounces
32,Panama Auromar Ironman Geisha Washed Process,94,"Piedra Candela, Chiriqui Province, far western Panama",Dragonfly Coffee Roasters,"Henderson, Nevada",Medium-Light,9,9,9,9,60/78,"High-toned, balanced, deeply sweet. Pomelo, jasmine, cocoa nib, amber, agave syrup in aroma and cup. Brightly sweet structure with juicy acidity; syrupy-smooth mouthfeel. The crisply cocoa-toned finish is supported by pomelo and jasmine.",July 2022,$50.00/4 ounces
33,Cruz Loma,94,"San José de Minas, Pichincha Province, Ecuador",JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,9,9,9,9,57/75,"Deeply sweet, richly fruit-toned. Passion fruit, ginger flower, cocoa nib, Meyer lemon zest, hazelnut in aroma and cup. Brightly sweet with vibrant, juicy acidity; very full, syrupy mouthfeel. The resonant finish centers around notes of cocoa-toned ginger flower.",July 2022,$25.00/8 ounces
34,Panama Elida Washed Gesha,95,"Boquete growing region, western Panama",modcup coffee,"Jersey City, New Jersey",Light,9,9,9,9,64/84,"Richly fruit- and floral-toned. Lychee, strawberry guava, white ginger, cocoa nib, pink grapefruit zest in aroma and cup. Brightly sweet structure with juicy acidity; viscous, satiny-smooth mouthfeel. The long, resonant, flavor-laden finish carries over all the notes from the cup.",July 2022,$60.00/150 grams
35,Dancing Tiger,93,Ethiopia; Costa Rica,Desolate Café,"Nantou, Taiwan",Medium-Light,9,8,9,9,56/77,"Richly tart, chocolaty. Pomegranate, dark chocolate, lemon verbena, almond, cedar in aroma and cup. Crisply sweet-tart structure with citrusy acidity; full, syrupy mouthfeel. The sustained finish consolidates to notes of pomegranate, dark chocolate and cedar.",July 2022,NT $500/227 grams
36,Ethiopia Bidimoo Chelelektu Natural,92,"Yirgacheffe growing region, southern Ethiopia",Desolate Café,"Nantou, Taiwan",Light,8,9,8,9,62/80,"Bittersweet, cleanly fruit-toned. Dark chocolate, raspberry, lime zest, hazelnut butter, rhododendron in aroma and cup. Deeply sweet structure with juicy, bright acidity; lightly satiny mouthfeel. The finish is carried by notes of dark chocolate and raspberry.",July 2022,NT $600/227 grams
37,Rider Blend,91,Sumatra; Colombia,Desolate Café,"Nantou, Taiwan",Medium-Light,8,8,8,9,58/75,"Crisply sweet, intentionally fermenty. Whiskey barrel, cocoa powder, raisin, fresh-cut fir, pistachio in aroma and cup. Sweet-savory structure with brisk acidity; velvety mouthfeel. Sweetly fermenty finish with notes of whiskey cask and fresh fir.",July 2022,NT $500/227 grams
38,El Salvador Finca La Esperanza,94,"Apaneca-Ilamatepec, El Salvador",Interpretation Coffee,"Chia-Yi, Taiwan",Medium-Light,9,9,9,9,62/78,"Gently sweet-tart, multi-layered. Dried raspberry, honeysuckle, almond butter, cocoa nib, honey in aroma and cup. Sweet-tart structure with winey acidity; full, syrupy mouthfeel. Finish consolidates to notes of almond butter and cocoa nib with undertones of dried raspberry.",July 2022,$14.00/230 grams
39,Dark Texas Twist,91,Ethiopia; Sumatra,Brand 425,"Kountze, Texas",Medium,8,8,9,9,44/60,"Sweetly roast-toned, richly chocolaty. Baking chocolate, scorched mesquite, lily, almond brittle, date in aroma and cup. Bittersweet structure with creamy mouthfeel; the crisp, gently drying finish centers on notes of baking chocolate, lily and mesquite.",July 2022,$18.99/16 ounces
40,Panama Hacienda La Esmeralda Super Mario Geisha Yeast Washed,95,"Boquete growing region, Panama",Quartet Kaffe,"Taipei, Taiwan",Medium-Light,9,9,9,9,60/77,"Richly aromatic, complex. Star jasmine, cocoa nib, bergamot, apricot, sandalwood in aroma and cup. Delicately bright structure with vibrantly juicy acidity; silky, viscous mouthfeel. Resonant, long flavor-laden finish with notes of star jasmine and cocoa nib supported by apricot undertones.",July 2022,NT $1250/60 grams
41,Quartet Kaffe Blend No.10,94,Ethiopia; Kenya; Bolivia; Panama,Quartet Kaffe,"Taipei, Taiwan",Medium-Light,9,9							,9,8,56/72,"Evaluated as espresso. Deeply sweet, rich-toned, chocolaty. Dark chocolate, cashew butter, pomegranate, lemon verbena, cedar in aroma and cup. Creamy-smooth mouthfeel; crisply sweet finish consolidates to notes of dark chocolate and pomegranate. In cappuccino-scaled milk, chocolate notes bloom, tart fruit notes are tempered, and floral hints are further amplified.",July 2022,NT $500/200 grams
42,Ethiopia Anasora Extended Natural Special Lot,94,"Guji Zone, Oromia Region, Southern Ethiopia",Quartet Kaffe,"Taipei, Taiwan",Medium-Light,9,9,9,9,60/76,"Juicy, bright, fruit- and floral-toned, savory-edged. Shitake mushroom, dark chocolate, grape candy, wisteria, amber in aroma and cup. Sweet-tart structure with cola-like acidity; plush, syrupy mouthfeel. Long, lingering, flavor-saturated finish.",July 2022,NT $880/200 grams
43,Canet Musician Series Mozart Raisin Honey,92,"Tarrazu growing region, Costa Rica",Cafe Fugu Roasters,"Taipei City, Taiwan",Medium-Light,9,8,9,9,57/75,"Gently fruit-forward. Raspberry, honey, almond butter, magnolia, grapefruit zest in aroma and cup. Sweet-toned structure with brisk acidity; plush, syrupy mouthfeel. The sweet-toned finish centers around notes of raspberry, magnolia and honey.",July 2022,NT $630/200 grams
44,Aomori Espresso House Blend,92,Colombia; Guatemala; Ethiopia,Cafe Fugu Roasters,"Taipei City, Taiwan",Medium-Light,8,8							,9,8,57/75,"Evaluated as espresso. Balanced, deep-toned. Baking chocolate, tamarind, cedar, narcissus, agave syrup in aroma and small cup. Crisp, lightly satiny mouthfeel; richly drying finish with notes of baking chocolate and cedar. In three parts milk, nice dark chocolate and narcissus notes supported by agave.",July 2022,NT $420/200 grams
45,Ethiopia Honey Yirgacheffe Idido G1,95,"Gedeo Zone, SNNP Region, southern Ethiopia",Kakalove Cafe,"Chia-Yi, Taiwan",Medium-Light,9,9,9,9,60/80,"Delicate, complex, multi-layered. Cocoa nib, orange blossom oil, hop flowers, tangerine, cedar in aroma and cup. Richly sweet-tart structure with citrusy acidity; full, syrupy-smooth mouthfeel. The floral-toned, citrusy finish is supported by cocoa nib and cedar notes.",July 2022,NT $350/8 ounces
46,Taiwan Natural Alishan Ching-Ye Farm,94,"Alishan, Chia-Yi, Taiwan",Kakalove Cafe,"Chia-Yi, Taiwan",Medium-Light,9,9,9,9,58/76,"Deep-toned, intricately balanced. Dried mulberry, dark chocolate, magnolia, sandalwood, pink peppercorn in aroma and small cup. Juicy-sweet structure with high-toned acidity; very full, syrupy mouthfeel. The resonant finish consolidates to notes of dried mulberry and pink peppercorn.",July 2022,NT $550/4 ounces
47,Dreadnaught Espresso,92,"Cajamarca region, Peru",Trident Coffee,"San Diego, California",Medium,8,8							,9,8,47/61,"Evaluated as espresso. Chocolaty, roast-rounded. Cocoa powder, date, salted caramel, gardenia, fresh-cut fir in aroma and small cup. Crisp, velvety mouthfeel; sweet, chocolaty and wood-framed finish. In three parts milk, both chocolate and floral notes bloom, with undertones of date and gardenia.",July 2022,$17.95/12 ounces
48,Trident Carmo de Minas,90,"Carmo de Minas growing region, northeastern Minas Gerais State, Brazil",Trident Coffee,"San Diego, California",Medium-Light,8,8,8,9,50/77,"Sweetly nut-toned. Cashew, caramel, cedar, orange zest, lily in aroma and cup. Sweet structure with brisk acidity; lightly satiny mouthfeel. The finish centers around notes of cashew and cedar with caramel undertones.",July 2022,$17.95/12 ounces
49,Hawaii Ka‘ū Bourbon Anaerobic Natural,95,"Ka‘ū growing region, Big Island of Hawai’i",Paradise Roasters,"Minneapolis, Minnesota",Medium-Light,9,9,9,9,57/74,"Richly sweet-tart, floral and fruit-driven. Mango, cocoa nib, ginger blossom, lime zest, cedar in aroma and cup. Balanced, tart-leaning structure with vibrant, juicy acidity; lightly viscous, silky mouthfeel. Long, flavor-saturated finish centered around fruit and florals.",July 2022,$30.00/4 ounces
50,Chelchele Ethiopia,94,"Gedeb District, Gedeo Zone, southern Ethiopia",JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,9,9,9,9,58/78,"Elegant, delicately aromatic, floral. Honeysuckle, cocoa nib, pink peppercorn, red plum, pomelo in aroma and cup. Sweetly tart with juicy, balanced acidity; plush, syrupy-smooth mouthfeel. Floral- and cocoa-toned finish.",July 2022,$19.00/12 ounces
51,Colombia Antioquia Magico,94,"Urrao, Antioquia Department, Colombia",Paradise Roasters,"Minneapolis, Minnesota",Light,9,9,9,9,62/80,"Richly chocolaty, sweetly tart. Nectarine, dark chocolate, lemon verbena, lavender, fresh-cut oak in aroma and cup. Sweet structure with high-toned acidity; very full, satiny-smooth mouthfeel. Crisply sweet, chocolaty finish with undertones of lemon verbena and a hint of lavender.",July 2022,$19.00/6 ounces
52,Honeyed Floral,93,"Guji Zone, Oromia Region, Southern Ethiopia",1980 CAFE,"Tainan City, Taiwan",Light,9,9,8,9,64/80,"Juicy, richly floral-toned. Lilac, cocoa nib, pink grapefruit zest, almond butter, fresh-cut oak in aroma and cup. Sweet-tart structure with bright, juicy acidity; crisply satiny mouthfeel. The engaging finish leads with notes of lilac and pink grapefruit zest, rounding to almond butter and oak in the long.",July 2022,NT $450/227 grams
53,Karamo Ethiopia Sidama Natural G1,93,"Sidama growing region, southern Ethiopia",1980 CAFE,"Tainan City, Taiwan",Medium-Light,9,8,9,9,62/79,"Deeply fruit-toned, richly chocolaty. Dried apricot, dark chocolate, narcissus, cedar, almond in aroma and cup in aroma and cup. Sweetly tart structure with brisk acidity; full, syrupy mouthfeel. The crisp finish consolidates to notes of dried apricot, dark chocolate and cedar.",July 2022,NT $450/227 grams
54,Caramel Rocher,92,"West Valley, Costa Rica",1980 CAFE,"Tainan City, Taiwan",Medium-Light,9,8,8,9,57/73,"Crisp, delicately fruit-forward. Pomegranate, amber, cocoa nib, marjoram, freesia in aroma and cup. Sweet-toned structure with gentle acidity; crisp, velvety mouthfeel. The finish leads with notes of amber and marjoram with floral undertones.",July 2022,NT $450/227 grams
55,Costa Rica Hacienda La Minita,94,"Los Santos, Tarrazú, Costa Rica",RamsHead Coffee Roasters,"Bozeman, Montana",Medium-Light,9,9							,9,9,57/73,"Elegantly fruit-toned. Strawberry-guava, pistachio, lime zest, freesia, cedar in aroma and cup. Sweetly tart structure with vibrant, juicy acidity; full, syrupy mouthfeel. The finish centers around notes of strawberry-guava and pistachio with cedar undertones.",July 2022,$17.50/12 ounces
56,Rwanda Karambi Station Natural,93,"Nyamasheke District, Rwanda",RamsHead Coffee Roasters,"Bozeman, Montana",Medium-Light,9,8,9,9,58/76,"Crisply tart, sweetly herbaceous. Tangerine, thyme, tea rose, fresh-cut oak, baking chocolate in aroma and cup. Sweet-tart structure with brisk acidity; satiny-smooth mouthfeel. The citrusy finish leads with notes of tangerine and tea rose.",July 2022,$17.50/12 ounces
57,Lone Peak Cafe Series Blend,92,El Salvador; Costa Rica,RamsHead Coffee Roasters,"Bozeman, Montana",Medium,9,8,9,9,50/67,"Deep-toned, richly sweet. Date, dark chocolate, hazelnut, magnolia, cedar in aroma and cup. Sweet structure with gentle, round acidity; plush, creamy mouthfeel. The crisp finish simplifies to notes of dark chocolate and cedar.",July 2022,$17.50/12 ounces
58,El Salvador Aida Batlle La Florida Natural,95,"Apaneca-Ilamatepec growing region, El Salvador",Moore Coffee,"Ventura, California",Medium-Light,9,9,9,9,56/74,"Richly floral, fruit-toned, balanced. Passion fruit, pink peppercorn, star jasmine, cocoa nib, sandalwood in aroma and cup. Sweetly tart structure with vibrant acidity; syrupy, viscous mouthfeel. The spicy-floral finish leads with notes of star jasmine and cocoa nib.",July 2022,$18.65/12 ounces
59,Colombia Geisha Cordillera,95,"Santa Barbara, Antioquia Department, Colombia",Nostalgia Coffee Roasters,"San Diego, California",Medium-Light,9,9,9,9,58/78,"Richly aromatic, chocolaty and fruit-driven. Dark chocolate fudge, dried blueberry, baking spices (clove, nutmeg, cinnamon), magnolia, a hint of wine barrel in aroma and cup. Deeply sweet structure with fruit-toned acidity; creamy, smooth mouthfeel. Long, resonant finish",July 2022,$65.00/8 ounces
60,Ethiopia Raro Boda,94,"Guji Zone, Oromia Region, Southern Ethiopia",Bird Rock Coffee Roasters,"San Diego, California",Medium-Light,9,9,9,9,56/74,"Citrusy-sweet, richly cocoa-toned. Tangerine, cocoa nib, marjoram, narcissus, fresh-cut cedar in aroma and cup. Sweetly tart structure with bright, balanced acidity; silky-smooth mouthfeel. Finish consolidates to pretty notes of cocoa nib and tangerine.",July 2022,$22.00/12 ounces
61,Kenya Nyeri Gathaithi,93,"Nyeri growing region, south-central Kenya",Jaunt Coffee Roasters,"San Diego, California",Medium-Light,9,9,8,9,62/78,"Balanced, sweetly savory. Wisteria, black currant, lime zest, tamarind, cedar in aroma and cup. Sweet-savory structure with bight, juicy acidity; full, syrupy-smooth mouthfeel. The finish leads with notes of tamarind, supported by lime zest and cedar.",July 2022,$23.00/12 ounces
62,Honduras Marcala,93,"Marcala growing region, La Paz Department, Honduras",Handlebar Coffee,"Santa Barbara, California",Medium-Light,9,8,9,9,55/72,"Balanced, deeply sweet, rich-toned. Butterscotch, hazelnut, dark chocolate, apricot, freesia-like flowers in aroma and cup. Invitingly bittersweet structure with brisk acidity; very satiny mouthfeel. The finish centers around notes of butterscotch and hazelnut.",July 2022,$20.00/12 ounces
63,Costa Rica Hacienda Sonora Honey,93,"Carrillos Alto de Poás, Alajuela Province, Costa Rica",Regent Coffee,"Glendale, California",Medium-Light,9,9,8,9,58/76,"Bright, vibrantly sweet. Wild honey, dried plum, cocoa nib, pink grapefruit zest, lilac in aroma and cup. Sweet structure with crisply bright acidity; velvety-smooth mouthfeel. Cocoa-toned finish with undertones of wild honey and pink grapefruit zest.",July 2022,$21.00/12 ounces
64,Ethiopia Shantawane Buncho Honey,93,"Sidama Region, south-central Ethiopia",The Reverse Orangutan,"Glendora, California",Light,9,9,8,9,62/80,"Vibrantly fruit-toned, intensely sweet-tart. Mango, cocoa nib, agave syrup, lemon thyme, magnolia in aroma and cup. Sweet-tart structure with perky acidity; plush, syrupy mouthfeel. Crisp fruit-forward finish with undertones of agave syrup and lemon thyme.",July 2022,$22.00/12 ounces
