coffee,origin,flavour,region,variety,process,roast,roaster,roaster_name
"Specialty coffee ""Ethiopia Shakisso",Ethiopia," Blueberry, blackberry, jasmine",Guji,Heriloom,others,medium,,
"Specialty coffee ""Ethiopia Burtukaana",Ethiopia," Rhubarb, blueberry, vanilla",Guji,Heirloom,others,medium,,
"Specialty coffee ""Kenya Kariru",Kenya," Raspberry, red currant, apple",Kirinyaga  ,"SL 34, SL 28",others,medium,,
"Specialty coffee ""Nicaragua Maragogype",Nicaragua," Honey, caramel, spices",Matagalpa,Maragogype,others,medium,,
"Coffee beans Vero Coffee House ""Nicaragua San Jose Javanica",Nicaragua  ," Caramell, Apocryocene, Cocoa",Jinotega,100% Arabica Javanica,others,light,,
"Specialty Coffee Vero Coffee House ""Honduras La Quebrada",Honduras ," Apples, dark plums, peaches","Intibuca, Pozo Negro",100% Arabica IH-90/Aramosa  ,others,medium,,
"Specialty Coffee Vero Coffee House ""Honduras La Quebrada",Honduras ," Apples, dark plums, peaches","Intibuca, Pozo Negro",100% Arabica IH-90/Aramosa  ,others,medium,,
"Specialty coffee Vero Coffee House ""Ethiopia Hambela",Ethiopia," Strawberries, cherries, passion fruit",Guji,100% Arabica Heirloom,others,light,,
"Coffee beans Vero Coffee House ""Nicaragua San Jose Javanica",Nicaragua  ," Caramell, Apocryocene, Cocoa",Jinotega,100% Arabica Javanica,others,light,,
"Speciality ground coffee ""Kenya Kariru",Kenya," Raspberry, red currant, apple",Kirinyaga  ,"SL 34, SL 28",others,medium,,
"Specialty ground coffee ""Ethiopia Burtukaana"".",Ethiopia," Rhubarb, blueberry, vanilla",Guji,Heirloom,others,medium,,
"Speciality ground coffee ""Indonesia Sumatra",Indonesia," Red wine, brown sugar, cinnamon","Sumatra, Aceh, Gayo","Tim tim, Ateng",others,dark,,
"Specialty coffee ""Nicaragua Maragogype",Nicaragua," Honey, caramel, spices",Matagalpa,Maragogype,others,medium,,
"Varietal Coffee Beans ""DR Congo Kivu",DR Congo," Marzipan, dried dates, dark chocolate",Kivu,Bourbon,others,dark,,
"Specialty coffee ""Papua New Guinea Sigri",Papua New Guinea," Gingerbread, black tea, honey",Wahgi Valley,Caturra,others,medium,,
"Specialty Coffee ""El Salvador Santa Petrona",El Salvador ," Marzipan, chocolate, lemon peel",Santa Ana  ,Pacamara,others,medium,,
"Specialty coffee ""Ethiopia Burtukaana",Ethiopia," Rhubarb, blueberry, vanilla",Guji,Heirloom,others,medium,,
"Specialty Coffee ""Jamaica Blue Mountain",Jamaica ," Tamarind, orange, milk chocolate","Clydesdale, Blue Mountains",Blue Mountain,others,medium,,
"Varietal coffee beans ""Kopi Luwak",Honduras," Chocolate, hazelnut, caramel",Zentral-Java,Typica,others,medium,,
"Specialty Coffee ""Ethiopia Yirgacheffe",Ethiopia," Blueberry, Blackcurrant, Vanilla",Yirgacheffee,Heriloom,others,medium,,
"Specialty coffee ""Nicaragua Maragogype",Nicaragua," Honey, caramel, spices",Matagalpa,Maragogype,others,medium,,
"Varietal Coffee Beans ""DR Congo Kivu",DR Congo," Marzipan, dried dates, dark chocolate",Kivu,Bourbon,others,dark,,
"Specialty coffee ""Papua New Guinea Sigri",Papua New Guinea," Gingerbread, black tea, honey",Wahgi Valley,Caturra,others,medium,,
"Specialty Coffee ""El Salvador Santa Petrona",El Salvador ," Marzipan, chocolate, lemon peel",Santa Ana  ,Pacamara,others,medium,,
"Specialty coffee ""Ethiopia Burtukaana",Ethiopia," Rhubarb, blueberry, vanilla",Guji,Heirloom,others,medium,,
"Specialty Coffee ""Jamaica Blue Mountain",Jamaica ," Tamarind, orange, milk chocolate","Clydesdale, Blue Mountains",Blue Mountain,others,medium,,
"Varietal coffee beans ""Kopi Luwak",Honduras," Chocolate, hazelnut, caramel",Zentral-Java,Typica,others,medium,,
"Specialty Coffee ""Ethiopia Yirgacheffe",Ethiopia," Blueberry, Blackcurrant, Vanilla",Yirgacheffee,Heriloom,others,medium,,
"Cerutti Â ""il CaffÃ¨Â"" Milan",,"Full-bodied, rich, chocolaty and slightly nutty taste.",,,others,medium,,
New York Extra (Bluemountain),,"chocolaty, full, round, long lasting",,,others,medium,,
BlasercafÃ© Lilacs and Roses,,"Pronounced pleasantly round, but very bulky",,,others,medium,,
Black and Blaze Premium,,"Chocolaty, bittersweet, very sweet and full-bodied",,,others,medium,,
CaffÃ¨ Ferrari Espresso Milan,,"powerful, aromatic, low acidity, long lasting",,,others,medium,,
New York XXXX,,"intense, distinguished, aromatic, chocolaty",,,others,medium,,
Rast Coffee Blend Premium,,Composed of the best Arabicas in the world,,,others,medium,,
Fourth Silver Coffee,,"Strong, oily dark beans, sweet with smoky full-bodied finish",,,others,medium,,
CaffÃ¨ Ferrari Espresso Napoli,,"powerful, spicy, racy, long lasting",,,others,medium,,
BlasercafÃ© Red and Black,,"Vigorous and intense, bulky but very well rounded",,,others,medium,,
LucaffÃ¨ Mister Exclusive,,"sweet, velvety with notes of chocolate and a full finish",,,others,medium,,
Three Forces Express,,"chocolaty, nutty, velvety and gentle",,,others,medium,,
Claro Baraza,,"crisp, earthy, bready and long lasting",,,others,medium,,
BlasercafÃ© Marrone,,"Sweet, mild aromas with notes of dark chocolate, toasted almonds, gingerbread and baked apple",,,others,medium,,
Rast espresso blend Milano,,Composed of the best Arabicas and the best Robusta,,,others,medium,,
Mauro Special Bar 20/80,," Intense, crisp and chocolaty",,,others,medium,,
LucaffÃ¨ Classic,,"sweet, chocolaty, soft, with a persistent finish",,,others,medium,,
Diemme Gold Blend,,"Aromas of chocolate, vanilla, slightly sweet and long lasting.",,,others,medium,,
Segafredo Extra Strong,,"noble, chocolaty, long lasting and harmonious.",,,others,medium,,
Passalacqua Mehari,,"Chocolaty, malty, crisp with complex body and a dark crema.",,,others,medium,,
Rast coffee blend Viennese,,Powerful blend of the best Arabicas,,,others,medium,,
"Henauer Coffee Camocim Crema, Brazil",,"Light, complex, balanced with notes of cassis, black tea and cocoa.",,,others,medium,,
New York Extra (Bluemountain),,"chocolaty, full, round, long lasting",,,others,medium,,
Passalacqua Harem,,"Mild, sweet, harmonious and slightly fruity.",,,others,medium,,
Tradition Golden Bean,,"Creamy, spicy and pleasantly Swiss",,,others,medium,,
CaffÃ¨ Ferrari Grossmutters KÃ¤feli,,"mild, aromatic, low acidity, long lasting",,,others,medium,,
BlasercafÃ© Lussuria,,"Chocolaty, nutty, sweet, long lasting",,,others,medium,,
Rast espresso blend Venezia,,"Der ideal Kaffee fÃ¼r Espresso, Ristretto, Latte Macchiato, Cappuccino und dunkle Schale",,,others,medium,,
LucaffÃ¨ Piccolo und Dolce,,"sweet, chocolaty, malty with full body",,,others,medium,,
The Sower Don Marco,,"aromatic, pungent, creamy and persistent",,,others,medium,,
Mauro De Luxe 70/30,,"chocolaty, harmonious, spicy, aromatic",,,others,medium,,
Sirocco Traditional Espresso,,"Chocolatey, strong, consistent, long lasting.",,,others,medium,,
La Semeuse Mocca Surfin,,"Velvety, sweet with fruit aromas and a fine almond note.",,,others,medium,,
Carlito Jubilee,,Strong and balanced,,,others,medium,,
Salimbene Superbar,,The stuff of espresso dreams.,,,others,medium,,
"Henauer Coffee Irlanda Espresso, Mexico",,"Aromas of hazelnut, cardamom and gingerbread",,,others,medium,,
New York XXXX,,"intense, distinguished, aromatic, chocolaty",,,others,medium,,
Stoll Roma,,"Fine notes of dark chocolate, pleasant nut and caramel notes",,,others,medium,,
Hausbrandt Gourmet,,"noble, nuanced, fruity and very long lasting",,,others,medium,,
ParanÃ Extra Bar Premium,,"fruity, chocolaty, nutty and full-bodied",,,others,medium,,
BlasercafÃ© Pura Vida,,"light acid notes and delicate bitter notes, light sweetness with notes of tropical fruits, honey, smoked bread and cocoa.",,,others,medium,,
Hausbrandt Academia,,"distinguished, intense, balanced",,,others,medium,,
Mauro Premium 50/50,,"spicy, chocolaty, harmonious, rustic",,,others,medium,,
Moak Special Bar,,"creamy, smoky, spicy, crisp and long lasting with floral notes and and vanilla.",,,others,medium,,
Rast espresso blend Roma,,"Der ideal Kaffee fÃ¼r Espresso, Ristretto, Latte Macchiato, Cappuccino und dunkle Schale",,,others,medium,,
Mokaflor Gold 80% 20%,,"intense, aromatic, spicy, creamy, long lasting with aromas of cookie, vanilla and cocoa.",,,others,medium,,
Green BlasercafÃ©,,"Full-bodied, fine acidity, balanced with aromas of herbs, clove, pepper and ripe stone fruit.",,,others,medium,,
Rast Espresso Blend Sicilia,,"Spicy, full-bodied and pungent aroma.",,,others,medium,,
Mokaflor Black Blend,,"Creamy, sweet, chocolaty and full-bodied",,,others,medium,,
"Kaffa Wodiyo, Wild Coffee Collection No 2",,"Round and tasty body with aromas of barrique, port, walnuts, and caramel.",,,others,medium,,
Moana Passalacqua,,Soft. Floral. Full-bodied.,,,others,medium,,
Fourth Coffee Gold Avio,,"Sweet, round, full-bodied with soft but extra long finish.",,,others,medium,,
Fourth Coffee Baroque,,"Mild, sweet, balanced velvety with full-bodied finish",,,others,medium,,
"Kaffa Mankira, Wild Coffee Collection No 1",,"Aromas of fresh butter, pine candy, macadamia and sweet wood and with a soft mouthfeel.",,,others,medium,,
Coffee Break Bar Blend,,"Creamy, strong, consistent, persistent.",,,others,medium,,
Carlito Brazil,,"Sweet, fruity and balanced",,,others,medium,,
Three Forces Express,,"chocolaty, nutty, velvety and gentle",,,others,medium,,
ParanÃ Espresso Italiano,,"full-bodied, creamy and chocolaty",,,others,medium,,
Hausbrandt Trieste,,"Strong, soft, velvety and balanced with subtle notes of bitter cocoa in the finish.",,,others,medium,,
Passalacqua Mekico,,Full-bodied. Harmonious. Elegant.,,,others,medium,,
Rast Malabar monsooned Aspinwall,,"Spicy, toasty, nutty and slightly earthy, medium body with a lingering finish.",,,others,medium,,
GM Superior Coffee,,"powerful, spicy, racy, long lasting",,,others,medium,,
Sirocco Traditional Cream,,Creamy and mild,,,others,medium,,
Stoll Pegaso,,"Chocolaty, full-bodied and long lasting",,,others,medium,,
Lavazza Grand Espresso,,"Full-bodied, intense, spicy with light spicy and chocolate notes.",,,others,medium,,
Three Forces Express,,"chocolaty, nutty, velvety and gentle",,,others,medium,,
GM Noble Coffee,,"sweet, velvety with a full finish",,,others,medium,,
Golden Bean Bar Blend,,"Strong, full-bodied and intense",,,others,medium,,
Costadoro Master Club,,"Flattering, aromatic, elegant",,,others,medium,,
Kaffa Espresso,,"elegant, tangy, sweet, fruity",,,others,medium,,
La Semeuse The Pleasure,,"aromatic, pungent, creamy and persistent",,,others,medium,,
Moak Bar Stella,,"sweet, spicy, balanced, creamy and crisp.",,,others,medium,,
Rast coffee blend mocha,,Vigorous blend of the best Arabicas,,,others,medium,,
Claro Ãromo,,"chocolaty, fruity with wild flowers",,,others,medium,,
LucaffÃ¨ Mister Exclusive,,"sweet, velvety with notes of chocolate and a full finish",,,others,medium,,
GM Coffee Super Extra Bar,,"chocolaty, hazelnutty with full body",,,others,medium,,
Golden Bean Espresso Fairtrade,,"Chocolaty, spicy, full-bodied and balanced",,,others,medium,,
ParanÃ Extra Bar,,"intense, full-bodied and reminiscent of dark chocolate",,,others,medium,,
Mauro Premium 50/50,,"wÃ¼rzig, voll, robust, herb",,,others,medium,,
LucaffÃ¨ BlucaffÃ¨,,"fruity, spicy, sweet, delicate bitter notes with full body.",,,others,medium,,
New York CaffÃ¨ Crema,,"mild, fruity, vanilla and sweet",,,others,medium,,
La Semeuse Mocca Bio,,"Creamy, sweet, chocolate with aromas of roasted dried fruit.",,,others,medium,,
Costadoro Espresso,,"full-bodied, elegant and aromatic",,,others,medium,,
Stoll house mix,,"Bright, fruity and fine",,,others,medium,,
SchreyÃ¶gg Espresso Bar,,"Creamy, aromatic, soft and balanced",,,others,medium,,
Salimbene Cafeteria,,"Full-bodied, intense, round and bittersweet with strong body.",,,others,medium,,
City roastery coffee house blend,,"Nutty, chocolaty, slightly fruity, balanced and harmonious.",,,others,medium,,
LucaffÃ¨ Classic,,"sweet, chocolaty, soft, with a persistent finish",,,others,medium,,
"Rast Aceh Mandheling, Gayo, Sumatra",,"Smells of roasted hazelnuts, has spicy aromas of raspberries and chocolate and a crisp body.",,,others,medium,,
Coffee Break Gourmet Blend,,"Creamy, strong with aromas of vanilla, floral and cocoa.",,,others,medium,,
SchreyÃ¶gg Coffee Crematic,,"Creamy, aromatic, soft and balanced",,,others,medium,,
Clear Honey,,"sweet, fruity and spicy",,,others,medium,,
Diemme Prestige Bar Blend,,"Floral, sweet with nuances of cocoa",,,others,medium,,
Coffee Break Mocca Blend,,"A true mocha espresso, creamy, strong, intense and persistent.",,,others,medium,,
Salimbene Delicious,,"Strong, creamy, sweet with hazelnut notes",,,others,medium,,
Rast coffee blend Eldorado,,Composed of the best Arabicas in the world,,,others,medium,,
BlasercafÃ© Classic,,"Sweet, balanced, floral, caramel, apple and sablÃ© pastry.",,,others,medium,,
"Kaffa La Chacra D'Dago, Crema",,"Sweet, balanced with notes of star fruit, apricot, sechuan flowers.",,,others,medium,,
Stoll Naples,,"spicy, powerful and long lasting",,,others,medium,,
Electa CaffÃ¨ House,,"Mild, chocolaty, soft and long lasting",,,others,medium,,
"Stoll Brazil, Bio",,"The aroma is characterized by berries, citrus notes, dried fruit and milk chocolate.",,,others,medium,,
Jolly Crema,,"soft, harmonious, chocolaty with a long lasting aftertaste",,,others,medium,,
Mauro Centopercento Bio und Fairtrade,,"Sweet and aromatic, slightly fruity and floral.",,,others,medium,,
"Kaffa Yeyibito, Wild Coffee Collection No 3",,"Mild, slightly furry of ripe blackberries and blueberries with notes of dark chocolate and bread.",,,others,medium,,
"MAME El Paraiso pink, EspressorÃ¶stung",,"citrus, floral with notes of peach",,,others,medium,,
"Kaffa La Chacra D'Dago, Espresso",,"Sweet, full-bodied and aromas of light chocolate, banana and rock candy.",,,others,medium,,
SchreyÃ¶gg Espresso Exquisit,,"creamy, aromatic and soft",,,others,medium,,
Claro Espresso,,"spicy, fruity and intense",,,others,medium,,
Mokaflor Chiaroscuro,,"Vanilla, chocolaty, spicy and with a finish of vanilla, pepper and mango.",,,others,medium,,
City roastery espresso house blend,,"Chocolaty, nutty, citrusy and a delicate scent of caramel in the finish.",,,others,medium,,
Moak Bar Servito,,"mild, digestible, creamy, aromatic",,,others,medium,,
New York Costa Rica,,"racy, intense, round and long lasting",,,others,medium,,
Sirocco Traditional Espresso Ruby,,"Fruity, floral, crisp and long and intense finish.",,,others,medium,,
Mauro Centopercento,,"Fruity, floral, intense and long lasting",,,others,medium,,
Lavazza Super Cream,,"Mild, creamy with aromas of honey and almonds",,,others,medium,,
New York Cafe Primeros,,"Round, aromatic and full-bodied, with a small chocolate note on the finish.",,,others,medium,,
Kaffa Medium,,"distinguished, spicy and full of flavors",,,others,medium,,
City roastery orang utan,,"Sweet, mild with flavors of orange, dark chocolate, cinnamon and cloves.",,,others,medium,,
ParanÃ Organic Fairtrade,,"full-bodied, creamy and chocolaty",,,others,medium,,
Moak Coffee Break,,"Strong, intense, creamy and long lasting",,,others,medium,,
"Rast Serrano Lavado, Sierra Maestra",,"Smells spicy and tobacco, with aromas of walnut and dark chocolate.",,,others,medium,,
Lavazza Earth! Selection,,"Floral, intense and sweet",,,others,medium,,
"Blasercafé Terroir, Orang Utan, Sumatra",,"Panettone, clove, dark chocolate. Sweet and full mouthfeel.",,,others,medium,,
New York CaffÃ¨ Biologico,,"fruity, slightly nutty, velvety and balanced",,,others,medium,,
RickliS Coffee Roastery Crema,,An espresso blend with secret recipe for the real home barista champion.,,,others,medium,,
Mokaflor Miscela Blu,,"intense, strong, sweet with cocoa notes and full body",,,others,medium,,
"Rast Kerkeicoondah, Balahonnur Farm",,"Nutty, spicy, chocolaty scents of juniper, malt and cork with aromas of bread crusts. Strong body with a long lasting finish.",,,others,medium,,
Lavazza Top Class,,"Chocolaty, sweet, fruity and long lasting",,,others,medium,,
"MAME Pearl, filter roasting",,"shock-loaded, creamy, long-necked",,,others,medium,,
"Kafischmitte Daterra, Brazil",,"Cocoa, walnut, marzipan",,,others,medium,,
valandtins garden Isule Dark Night,,"Tangy, low acid and with a hint of dark chocolate.",,,others,medium,,
"Kaffa Goba Gessa, Wild Coffee Collection No 4",,"Pungent spicy with subtle fruity notes of rhubarb, acacia, pine nuts and a hint of Long Pepper",,,others,medium,,
Rast espresso blend Vesuvio,,"Very delicate, fine acidity, full body, seductive, intense and spicy aroma.",,,others,medium,,
"BlasercafÃ© Terroir, Brazil Capoeirinha Estate",,"Limited Edition: Toasted hazelnut, chocolate, toffee and vanilla. Soft mouthfeel",,,others,medium,,
La Semeuse Soleil Levant Organic,,"aromatic, pungent, creamy and persistent",,,others,medium,,
"Vertical Coffee Big Wall, EspressorÃ¶stung",,"Dark chocolate, almonds, brown sugar sweetness, low acidity, full body.",,,others,medium,,
Tropical Mountains Mafioso,,"Dark, hazelnut, spices and chocolate with a subtle fruitiness",,,others,medium,,
Carlito Special,,Floral and fruity.,,,others,medium,,
"Vertical Coffee Brazil, Diamond, FilterrÃ¶stung",,"Cocoa, hazelnut, sweet and balanced, creamy body.",,,others,medium,,
"valandtins garden Isule Pure, Uganda",,Fruity with notes of berries and caramel,,,others,medium,,
City roastery Rwanda Jarama,,"Sweet, honey, raspberry, chocolate with notes of raw sugar and caramel, fabulously balanced with medium body.",,,others,medium,,
"Birchbach Tembo Tembo, filter",,"Fruity fresh, apple and cola",,,others,medium,,
"Rast Bukoba, Kagera",,"Sweet, strong, spicy, nutty, earthy, long finish with flavors of dark chocolate.",,,others,medium,,
CoffeeCurator CuvÃ©e No 1,,"Short, intense, heavy, nutty and strong.",,,others,medium,,
"MAME Full Bloom, filter roasting",,"nutty, soft, balanced",,,others,medium,,
Zermatt roastery Ethiopia Sidamo,,"Bergamot, black currant and jasmine",,,others,medium,,
New York Ethiopia,,Nobility obliged,,,others,medium,,
"MAME Danilo El Diamante, EspressorÃ¶stung",,"Notes of apple, raisins and cinnamon",,,others,medium,,
"MAME Birhanu, filter rusting",,floral with flavors of violet and red grape creamy texture,,,others,medium,,
Moak Brasilea,,"Full-bodied with notes of licorice, chocolate and honey.",,,others,medium,,
The White Pedalman,,"Orange blossom, jasmine, citrus, rose water, cassis, oriental spices and dark chocolate with a crisp and velvety body.",,,others,medium,,
GM CaffÃ¨ Old Tuscany Oak,,"strong, earthy, woody with a smoky tobacco note",,,others,medium,,
New York Java (Giava),,"mild, full, round and nutty",,,others,medium,,
Salimbene Superbar,,The stuff of espresso dreams.,,,others,medium,,
Costadoro Decaffinato,,"Nutty, full-bodied and long lasting, very unusual for decaffeinated.",,,others,medium,,
"Stoll Honduras, Bio",,Chocolaty fruity and sweet floral,,,others,medium,,
Hausbrandt Gourmet Columbus,,"Mild, balanced, spicy, fruity with aromas of cocoa and licorice.",,,others,medium,,
Rast coffee blend festival,,The real pleasure for coffee connoisseurs,,,others,medium,,
Sirocco Platinum Espresso,,"Fruity, floral, sweet and digestible",,,others,medium,,
BlasercafÃ© OCOA Santo Domingo,,"Dieter Meier & Iwan Hauck Coffee Project OCOA - Enjoy this special, oh, yeah!",,,others,medium,,
Black and Blaze India delight,,"Sweet, slightly fruity, oriental spicy, reminiscent of a grand cru truffles",,,others,medium,,
"Vertical Coffee Guatemala, La MontaÃ±a, FilterrÃ¶stung",,"caramel, juicy apple, hibiscus, soft body",,,others,medium,,
"Miro Coffee Santa Rosa, Honduras, EspressorÃ¶stung",,"Nutty and notes of blackberries and cocoa, well balanced",,,others,medium,,
"Henauer Coffee Macho, P14",,"Sweet, light, complex with notes of apple, milk chocolate and hazelnut",,,others,medium,,
City Roastery DecalÃ©,,"Floral, fruity, tasting of apples, peach, vanilla and honey and a finish of tropical fruit and caramel.",,,others,medium,,
Claro Classic,,Fruity with a fine acidity,,,others,medium,,
Tropical Mountains Geisha,,LIMITED EDITION with floral and fruity notes,,,others,medium,,
"Miro Coffee Boa Vista, Brasilien, EspressorÃ¶stung",,"chocolaty, nutty, honey, full body",,,others,medium,,
Segafredo Extra Mild,,Especially low acid and irritant coffee - the recommendation for the sensitive stomach.,,,others,medium,,
Kafischmitte La Sinfonia,,"Chocolate, cocoa, spices and dried fruits",,,others,medium,,
Lavazza Kafa,,"Fruity, notes of jasmine, aftertaste of honey and dates, hints of ripe fruit.",,,others,medium,,
"Rast Yellow Bourbon, Samambaia Company",,"Sweet, spicy, nutty, medium body and persistent finish, red berry scented with aromas of chocolate and honey.",,,others,medium,,
Moak Soave,,"strong, spicy dark chocolate and full-bodied",,,others,medium,,
The Black Pedalman,,"Nutty, chocolate and subtle citrus notes with a long velvety finish.",,,others,medium,,
SchreyÃ¶gg Espresso Decaffiniato,,"spicy, aromatic, intense, earthy. Not too strong, not too mild.",,,others,medium,,
Rast coffee blend Latino No 5,,The mixture captivates with the perfect balance,,,others,medium,,
Rast Coffee Blend Latino No 2,,The mixture captivates with the perfect balance,,,others,medium,,
Bristot Rainforest,,"Fruity, vanillieg, chocolaty and long lasting",,,others,medium,,
Zermatt Roastery Kickass,,"Chocolate, orange, honey, walnut, molasses notes of white pepper and coconut",,,others,medium,,
Jolly TSR,,"spicy, creamy, nutty and full-bodied",,,others,medium,,
New York Brazilian Santos,,"aromatic, soft, balanced and creamy",,,others,medium,,
Claro Crema,,fruity and aromatic,,,others,medium,,
Tropical Mountains Paradiso,,"Mild, creamy, milk chocolate and full-bodied",,,others,medium,,
New York Columbia,,"balanced, spicy, sweet and round",,,others,medium,,
Mokaflor Miscela Biologico,,"chocolaty, sweet, aromatic and slightly fruity",,,others,medium,,
"Rast Guama, Kenja, Baragwi Farmers",,"Sweet, malty, fruity with citrus and grapefruit aromas.",,,others,medium,,
Hausbrandt Gourmet Columbus,,"Mild, balanced, spicy, fruity with aromas of cocoa and licorice.",,,others,medium,,
Cafe center La Fruta,,The name says it all: La Fruta = the fruit. Various berries and tropical fruits. Intense and sweet.,,,others,medium,,
"Ojo de Cafe Colombia Tropical, FilterrÃ¶stung",,"Mango, Papaya, Brombeere",,,others,medium,,
GM Organic Coffee,,"Sweet, nutty, fruity with aromas of licorice",,,others,medium,,
Hausbrandt Academia,,"distinguished, intense, balanced",,,others,medium,,
"MAME Danilo El Diamante, FilterrÃ¶stung",,"Notes of apple, grape and cinnamon",,,others,medium,,
RickliS Coffee Roastery Oscuro,,Dark roasted traditional coffee blend,,,others,medium,,
"Kafish Centre Kirinyaga, Kenya",,"Sugary, heavy, creamy, typical Keny tomato, dark chocolate and citrus.",,,others,medium,,
Swipala CafÃ© the Pearl,,"fine spicy, nutty, full-bodied reminiscent of mocha flavors",,,others,medium,,
"Kafischmitte La Union, Guatemala",,"Sweet, tropical fruit with a hint of ""Cola-FrÃ¶schli"".  ",,,others,medium,,
Mokaflor Miscela Rossa,,"Sweet, full-bodied with notes of cocoa and a slight aftertaste of citrus.",,,others,medium,,
Tropical Mountains Concierto,,"Creamy, full-bodied with spicy aromas of nutmeg and cedar wood",,,others,medium,,
Tropical Mountains Tesoro,,"Dark chocolate with notes of walnut, orange peel, tobacco and spices.",,,others,medium,,
"Ojo de Cafe Guatemala La Senda, FilterrÃ¶stung",,"A sweet, fruity and slightly floral filter coffee.",,,others,medium,,
Black and Blaze Season Special,,"Exciting aromas, complex acids and lots of sweetness.",,,others,medium,,
"Stoll Mexico, organic",,"Sweet, malty, fruity, spicy, balanced and velvety",,,others,medium,,
"Kafischmitte Esperanza Natural, Costa Rica",,"Strawberry and vanilla soft ice cream, pineapple, orange",,,others,medium,,
"Kafischmitte Sophies Lot, Honduras",,"Oranges, roasted almonds and currants, balanced with low acidity.",,,others,medium,,
Mauro De Luxe 70/30,,"chocolaty, harmonious, spicy, aromatic",,,others,medium,,
"Rast Blue Mountain, Wallenford Estate",,"Fruity, sweet, medium body with a strong finish, smells of dark berries and tangerine with aromas of peanut, hazelnut, caramel and chocolate.",,,others,medium,,
Mauro Centopercento,,"Fruity, floral, intense and long lasting",,,others,medium,,
RickliS Coffee Roastery Royal Arabica,,"Balanced, round and slightly fruity, perfect for CafÃ© CrÃ¨me",,,others,medium,,
Salimbene Cafeteria,,"Full-bodied, intense, round and bittersweet with strong body.",,,others,medium,,
"MAME Pearl, espresso roaster",,"shock-loaded, creamy, long-necked",,,others,medium,,
Zermatt roastery Mahorn,,"Bergamot, black currant, honey with a light floral finish.",,,others,medium,,
Rast Yirga Cheffe,,"Fruity, strong body with a scent of jasmine and orange blossom, aromas of lime zest, peach and licorice.",,,others,medium,,
"CafÃ© Tacuba Finca los Angeles, El Salvador",,"Pleasant soft acidity, full body, sugar cane, juicy taste of tangerine, long sweet aftertaste.",,,others,medium,,
"MAME Birhanu, espresso roasting plant",,"floral with flavors of violets and blueberries, creamy texture",,,others,medium,,
Bristot Special,,"Soft, round and full-bodied coffee. Notes of malt, caramel and nuts.",,,others,medium,,
"Rast Taioba, Fazenda Agua Limpa",,"Strong body with a long finish, smells of dark berries and apricot with aromas of dark chocolate, gingerbread, caramel and rock candy.",,,others,medium,,
"Vertical Coffee Breakway, EspressorÃ¶stung",,Vanilla and dark chocolate. A sweet cup with low acidity and full body.,,,others,medium,,
"MAME El Paraiso red, espresso roasting machine",,"red fruits, notes of dragon fruit, pomegranate and hibiscus.",,,others,medium,,
MAME Decaf medium roast,,sweet with notes of marzipan and tropical fruits,,,others,medium,,
