coffee_title,coffee_origin,roaster_name,variety,production,roast_level,flavour
Uganda – Bukonzo Dream,Ethiopia,TCC,Yellow Bourbon,"DecafWashed, Swiss Water",Light,Caramelized Honey Raspberry Grapefruit
Hermosa,Indonesia,Coaltown Coffee,Castillo,Washed,Dark,Chocolate Dark  Chocolate Sweet Citrus  Fruit
"Daterra, Brazil",Brazil,Cast Iron,Pacamara,Natural,Dark,Chocolate Sweet Other  Fruit Citrus  Fruit
Colombia Coffee (rene Magritte),India,Art & Coffee,Ethiopia / Sudan AssesionGimmaRobustaKaffa,Washed,Medium Dark,Dried  Fruit Pineapple Other  Fruit Whiskey
Brazil Rancho Grande,Ethiopia,Django Coffee Co,CaturraCatuai,Natural, Dark,Dark  Chocolate Caramelized Brown  Sugar Sweet Other  Fruit Orange
"Espresso / Filter - La Estrella, Decaf - Colombia - Dark Chocolate-Apricot-Sweet Mandarin",Bolivia,Carnival,ColombiaCaturra,Natural,Medium,Almond Nutty Sweet Floral Floral Citrus  Fruit
Brazil Ipanema Yellow Bourbon Medium Roast,Ethiopia,Pebble and Pine,TypicaArabicaCatimor / Ateng,Honey,Medium Light,Burnt Cocoa Molasses Maple  Syrup Caramelized Floral Citrus  Fruit
Fairtrade Colombian Dark,Brazil,John Watt And Son,PacamaraCatuaiMaragogype,"DecafWashed, Swiss Water",Medium,Sweet Floral
Finca San Jose,Guatemala,Coaltown Coffee,CaturraBourbon,Washed,Medium,Anise Brown  Sugar Sweet  Aromatic Sweet Herb like Musty  Earthy
Organic Fairtrade Amharic,Indonesia,Wogan Coffee,ColombiaCaturraBourbonTypicaCatuaiRobusta,Washed,Dark,Nutty Chocolate Grape Fruity
Madrigal,Brazil,Coaltown Coffee,Mundo NovoCatucaiCatuaiYellow Bourbon,Washed,Green,Vanilla Sweet Peach Lemon
Mandela Hybrid Washed Colombia,Indonesia,Cast Iron,Red Bourbon,"DecafWashed, Swiss Water",Medium,Cocoa Brown  Sugar
Indonesia Sumatra,Colombia,Decadent Decaf,Red Catuai,Natural,Medium,Dark  Chocolate Caramelized Honey Sweet Citrus  Fruit
"Espresso - San Ramon, Nicaragua - Dark Choc - Caramel- Honeycomb",Uganda,Carnival,Castillo,Washed,Dark,Tobaco Smoky
High Continental,Costa Rica,John Watt And Son,Arabica,Honey,Medium,Caramelized
Fudge Blend Nº 5,Brazil,Rave,Bourbon,Washed,Dark,Cereal Nutty Chocolate Caramelized Vanilla Sweet Fruity
Kiln,Colombia,Wogan Coffee,CaturraTypica,"DecafWashed, Sugarcane (E.A.)",Medium,Dark  Chocolate Molasses Apple
Brazil Fazenda Campestre Nº 109,Brazil,Rave,Arabica,Honey,Medium,Molasses Caramelized Raspberry Apple Fresh
Rwanda Kirambo,Colombia,Django Coffee Co,BourbonTypicaArushaBlue Mountain,Natural,Medium Dark,Sweet Apple Other  Fruit
Roasters Choice - Costa Rica Honey,Brazil,The Runner Bean Coffee Co,Arabica,Decaf,Medium,Dark  Chocolate Brown  Sugar Black  Tea Pomegranate Sour
Burundi Rotheca Project Guest,Colombia,Decadent Decaf,Colombia,Decaf,Medium,Caramelized Apple Fruity
Coffee Of The Month - Joyería,Costa Rica,Perky Blenders,Yellow CatuaiRed Catuai,Honey,Dark,Chocolate Vanilla Strawberry
Colombia Mustafa,India,Alpaca Coffee,CaturraYellow CatuaiMundo NovoTypicaYellow Bourbon,Washed,Medium Dark,Chocolate Caramelized Floral Floral Peach
Costa Rica Hermosa - Whole & Ground Roasted Coffee Beans,Ethiopia,Copper,Arabica,Washed,Medium,Sweet Pineapple Citrus  Fruit Vegetative
Burundi Arabica Roasted Coffee,Costa Rica,White Rose,CaturraPache ComumBourbonCatimor / AtengCatuai,Natural,Medium Light,Peanuts Chocolate Citrus  Fruit
Organic Swiss Water Process Peruvian Decaf,Colombia,Clumsy Goat,Red Catuai,Washed,Medium Dark,Dark  Chocolate Caramelized Floral Berry Fruity
New Forest Blend,Indonesia,Quirky Coffee Co,Yellow CatuaiCaturraRed Catuai,Natural,Dark,Nutmeg Dark  Chocolate
Rwanda Coko Coffee,Nicaragua,York Emporium,BourbonCatuai,"DecafWashed, Swiss Water",Dark,Spices
Taster Pack – House Edition,Brazil,TCC,Mundo NovoBourbonTypica,Natural,Dark,Malt Roasted Chocolate Dark  Chocolate Sweet Orange Citrus  Fruit
Papua New Guinea Lamari Green Coffee Beans,Brazil,Rave,Ethiopia / Sudan AssesionBourbon,Washed,Dark,Roasted
500g Mystery Beans!!,Colombia,Foundry Coffee Roasters,Icatu,Natural,Medium,Honey Brown  Sugar Sweet Raisin Dried  Fruit Other  Fruit Fruity
Costa Rica - Don Eli White Honey,India,Horsham,ArabicaCatimor / AtengCatuaiCauvery,Washed,Medium Dark,Berry Orange
Kenya: Edition 22.057,Brazil,Hasbean,Mundo NovoCatuai,Natural,Medium Dark,Brown  Sugar Acetic  Acid
Galeras Ea Decaffeinated,Rwanda,Colonna,BourbonParainema,"Natural, Monsooned",Dark,Peanuts Chocolate Caramelized Pear
"Altair & Rodolfo Jastrow, Brazil",Costa Rica,Sunday Coffee,Mundo NovoCaturraPache ComumBourbonTypicaIcatuArabicaObata,Honey,Medium,Cereal Vanilla
Bourbon Cream Espresso,Burundi,Pact,CaturraBourbon,Natural,,Hazelnut Chocolate Caramelized
Decaf Coffee,Colombia,York Emporium,TypicaArabica,"DecafWashed, Solvent T.C.E / M.C.(KVW)",,Nutty Cocoa Caramelized Honey Vanilla Sweet Jasmine Floral Floral Other  Fruit Fruity
Peru G1 Decaf,Colombia,Naked Roaster,Arabica,Honey,,Nutty Caramelized Floral Peach Fruity
Peru Finca Pompeya Red Honey Arabica Roasted Coffee,Costa Rica,White Rose,Bourbon,Washed,,Chocolate Caramelized Apple
Nicaragua: Edition 22.072,Burundi,Hasbean,BourbonCatuai,Natural,,Chocolate Caramelized Peach
Nicaraguan La Bastilla P3,Peru,Quirky Coffee Co,ColombiaCaturraTypica,,,Honey Floral Blueberry Berry
"Guatemala, Blue Ayarza Natural",Brazil,Wogan Coffee,BourbonTypica,,,Nutty Chocolate Sweet Floral Other  Fruit Citrus  Fruit
Caldera - Mexico,Nicaragua,Dark Arts Coffee,Red Catuai,,,Smoky Nutty Molasses Caramelized Berry Citrus  Fruit
Formula 442 – Filter Sachets- 50 X 75g,Rwanda,Bristol Twenty,,,,Burnt Roasted Nutmeg Nutty  Cocoa Coconut Fresh
Doghouse Espresso,Uganda,Carringtons Coffee Co,,,,Molasses Caramelized Vanilla Sweet Raisin Dried  Fruit Other  Fruit Fruity
"Ratnagiri Estate, India Guest",Brazil,Decadent Decaf,,,,Hazelnut Chocolate Caramelized
Brazil Boa Esperança - Whole & Ground Roasted Coffee Beans,Guatemala,Copper,,,,Nutty Sweet Rose Raspberry Fruity
"Don Pancho, Honduras",Papua New Guinea,Cast Iron,,,,Cinnamon Caramelized Sweet Floral Floral Citrus  Fruit
Giusto Gusto,Costa Rica,Sollie Box,,,,Chocolate
Chatswood Blend Nº 6,Kenya,Rave,,,,Nutty Brown  Sugar Sweet Fruity
Peru Mishanango Nº 153,Colombia,Rave,,,,Spices Chocolate
Gititu Aa,Brazil,Colonna,,,,Nutty Cocoa Sweet Citrus  Fruit
Indian Monsoon Malabar Coffee Nº 53,El Salvador,Rave,,,,Caramelized Lime
Brazil Coffee (gustav Klimt),Brazil,Art & Coffee,,,,Nutty Cocoa Sweet Citrus  Fruit
El Salvador: Edition 22.066,Peru,Hasbean,,,,Roasted Chocolate Molasses Caramelized Honey Vanilla Sweet Fruity
Brazilian Decaf,Peru,Wogan Coffee,,,,Anise Molasses Caramelized Raspberry Peach Orange Citrus  Fruit
"Eden,  Blend",Nicaragua,Cast Iron,,,,Chocolate Molasses Caramelized Cherry
Fruit And Nut Espresso,Brazil,Pact,Yellow CatuaiBourbon,Washed,Dark,Cereal Roasted Nutty Chocolate
Kenya Coffee (matisse),Rwanda,Art & Coffee,Arabica,Washed,Dark,Molasses Caramelized Other  Fruit
Honduras - Coagriscal - Organic,Kenya,Roastery Hope Coffee,LempiraObataCatuai,Washed,Medium,Molasses Caramelized Other  Fruit
Green Brazil Coffee Beans 900g,Honduras,Art & Coffee,Mundo NovoCaturraBourbonTypicaCatuai,Washed,Green,Cherry Other  Fruit Overripe
Black Gold No3,Brazil,Coaltown Coffee,Villa Sarchi,Natural,Green,Almond Chocolate Caramelized
Blake: Black Blend,Costa Rica,Hasbean,Bourbon,Honey,Medium Dark,Roasted Nutty
Blake: Black Blend,El Salvador,Hasbean,CaturraCatuai,Natural,Medium,Vanilla Pineapple Other  Fruit
Costa Rica: Edition 22.060,Costa Rica,Hasbean,Ethiopia / Sudan Assesion,Washed,Medium Dark,Floral Floral Blueberry
Signature Blend Nº 1,Ethiopia,Rave,CaturraPacasSarchimor,Honey,Green,Roasted Sweet
Green El Salvador Coffee Beans 900g,El Salvador,Art & Coffee,Maragogype,Natural,Medium,Sweet  Aromatic Floral Floral Lemon
"New: Costa Rica, Las Lajas (black Honey)",Brazil,Sacred Grounds,Arabica,Natural,Green,Sweet Berry Fermented
Ana Suri Guji (ethiopia),Nicaragua,John Watt And Son,Red CaturraRed BourbonYellow Bourbon,Washed,Light,Floral Floral Raspberry Berry Grape
El Salvador El Horno - Green Coffee Beans,Kenya,Rave,Robiaceae Coffea,Decaf,Dark,Spices Molasses Caramelized Vanilla Floral Floral
Nicaraguan Maragogype,Malaysia,Quirky Coffee Co,TypicaCatimor / Ateng,Natural,Medium,Orange Citrus  Fruit Fruity
Topaza Pyra,Costa Rica,Quirky Coffee Co,Colombia,Washed,Medium,Roasted
Guatemala Buena Vista Concepción Nº 146,Nicaragua,Rave,Robusta,Washed, Dark,Roasted Dark  Chocolate Berry Musty  Earthy
Organic Fairtrade Ethiopian Lekempte,Guatemala,Wogan Coffee,Pink Bourbon,"DecafNatural, Swiss Water",Green,Grain Cinnamon Clove Spices Nutty  Cocoa Molasses Caramelized Honey Sweet Other  Fruit Citrus  Fruit
Llama Mama - Finca El Palto - Peru,Ethiopia,Roastery Hope Coffee,PacasBourbonArabica,Natural, Dark,Caramelized Berry Fruity
Colombia El Carmen Decaf Green Coffee Beans,Peru,Rave,Ethiopia / Sudan AssesionGesha / Abyssinia,"DecafWashed, Swiss Water",Medium,Dark  Chocolate Strawberry Berry Peach
Rocket Roast Robusta Coffee Beans,Colombia,Presto,Arabica,Washed,Medium,Nutty Cocoa Sweet Floral Orange
Luis Anibal - Colombia,Vietnam,Foundry Coffee Roasters,SL-14SL-28,"DecafWashed, Swiss Water",Medium,Blueberry Cherry Other  Fruit
El Salavdor El Molinito Shg Ep,Colombia,Bristol Twenty,Robiaceae Coffea,Washed,Medium,Nutty Chocolate Fruity
Ethiopian Rocko Mountain Natural,El Salvador,York Emporium,Arabica,Natural,Medium,Chocolate Fruity
Half The Caffeine,Ethiopia,Wogan Coffee,BourbonCatuai,Washed,Dark,Nutty Chocolate Nutty  Cocoa Maple  Syrup Vanilla Sweet
Uganda Mahango,Nicaragua,Django Coffee Co,CaturraBourbon,Honey,Medium Light,Chocolate Citrus  Fruit Fruity
Organic Decaf Coffee,Honduras,Horsham,Tabi,Washed,Medium,Roasted Hazelnut Nutty  Cocoa Vanilla Sweet Floral Fruity
Seasonal Espresso Blend - Lavender Hill,Uganda,Sendero,Yellow CatuaiCaturra,Washed,Medium,Chocolate Cherry Peach
Decaffeinated Swiss Water Brazillian Arabica Roasted Coffee,Guatemala,White Rose,CastilloColombia,Washed,Medium Dark,Other  Fruit
Fairtrade High Mountain Blend,Mexico,John Watt And Son,Villa SarchiCaturraCatuai,Washed,Medium,Honey Overall  Sweet Sweet Other  Fruit
"Ana, Cris And Renata, Brazil, Natural",Uganda,Girls Who Grind Coffee,CaturraBourbonTypica,Decaf,Medium,Roasted Spices Nutty Chocolate Sweet Dried  Fruit Peach Fruity Whiskey
Nicaragua Santa Maria Natrual,Guatemala,York Emporium,Robiaceae Coffea,Honey,Medium Dark,Chocolate Caramelized Vanilla Fruity
Buenos-Aires,Brazil,Pact,ColombiaArabica,Honey,Medium,Spices Dark  Chocolate Molasses Caramelized Bitter
Costa Rica: Edition 22.070,Costa Rica,Hasbean,BourbonSL-34SL-28Kent,"DecafWashed, Swiss Water",Medium,Chocolate Sweet Raisin
Peru San Ignacio Medium Roast,Colombia,Pebble and Pine,Yellow CatuaiCaturraRed Catuai,Washed,Medium,Hazelnut Dark  Chocolate Nutty  Cocoa Vanilla Floral Citrus  Fruit
Blended Specialty Coffee - No 2 Blend -1571,Brazil,The Flat Cap,CastilloColombiaCaturra,"DecafWashed, Swiss Water",Medium,Roasted
Espresso Blend (mondrian),Nicaragua,Art & Coffee,SL-28,"DecafWashed, Sugarcane (E.A.)",Dark,Honey Sweet Rose Berry Orange
Kenyan Specialty Coffee - Zawadi Peaberry,Colombia,The Flat Cap,CaturraCatuai,Washed,Medium,Nutmeg Hazelnut Dark  Chocolate Honey Raisin Fruity
Nicaraguan La Bastilla P3,Costa Rica,Wogan Coffee,CaturraPache ComumBourbonTypica,Natural,Medium,Vanilla Sweet Floral Peach Citrus  Fruit Fruity
"Decaf - Colombia, Chaparral",Peru,Sacred Grounds,KaffaJARC 74158,"DecafWashed, Sugarcane (E.A.)",Light,Pomegranate Pineapple Other  Fruit Lemon Lime Citrus  Fruit Fruity
Kenya Kariti Aa,Nicaragua,Wogan Coffee,CastilloColombiaCaturra,Natural,Medium,Jasmine Floral Strawberry Peach
"Aracelly Robles, Costa Rica, Honey, Part 3",Honduras,Girls Who Grind Coffee,SL-28,Washed,Medium,Roasted Nutty Chocolate Caramelized
Omega,Colombia,Wogan Coffee,Robiaceae Coffea,Washed,Medium,Chocolate Molasses Caramelized Peach
Machu Picchu – Swiss Water Decaffeinated,Indonesia,Bristol Twenty,CastilloColombiaCaturra,"Natural, Monsooned",Medium,Chocolate Sweet Berry Raisin Cherry
"Ethiopia, Sidama",Colombia,Symposium Coffee,Ethiopia / Sudan Assesion,Natural,Medium,Peach Lemon Citrus  Fruit
Guatemala Decaffeinated - Whole & Ground Roasted Coffee Beans,Kenya,Copper,SL-28,Washed,Medium,Chocolate Caramelized Sweet Floral Floral Orange Citrus  Fruit
Sans Decaf,Nicaragua,Mission Coffee Works,JARC 74110JARC 74112,Natural,Medium,Nutty  Cocoa Vanilla Citrus  Fruit
Kenya Peaberry Arabica Roasted Coffee,Colombia,White Rose,Ethiopia / Sudan AssesionArabicaRobiaceae Coffea,"DecafWashed, Mountain Water",Dark,Brown  Sugar Blackberry Dried  Fruit Lime Whiskey
Ethiopian Sidamo,Kenya,Clumsy Goat,TypicaArabica,"Natural, Anaerobic or Macerated",Medium,Honey Black  Tea Lemon
Popayán (decaf) - Colombia,Costa Rica,Foundry Coffee Roasters,Arabica,Natural,Medium Dark,Blackberry Berry Grape Peach Lemon Lime
Ethiopian Yirgacheffe Coffee,Mexico,York Emporium,Arabica,Washed,Medium,Cinnamon Spices Dark  Chocolate Citrus  Fruit Musty  Earthy
Costa Rica: Edition 22.042,Peru,Hasbean,ColombiaCaturraBourbonTypicaCatuai,Wet Hulled,Light,Roasted Chocolate Nutty  Cocoa Caramelized Vanilla Sweet Orange Lemon
Ethiopia: Edition 22.071,Honduras,Hasbean,Robiaceae Coffea,Washed,Medium,Chocolate Sweet Peach Other  Fruit
Ethiopian Yiracheffe,Ethiopia,Bristol Twenty,ColombiaArabica,Washed,Light,Chocolate Dark  Chocolate Sweet Citrus  Fruit
India Monsoon Malabar Medium/Dark Roast,Guatemala,Pebble and Pine,SL-34,Washed,Medium,Almond Chocolate Vanilla Orange Fruity
Cattle Market  Arabica Roasted Coffee,Colombia,White Rose,Red Bourbon,Honey,Dark,Roasted Nutmeg Lemon Fresh
"Bukonzo Dream, Uganda",Kenya,Cast Iron,Ethiopia / Sudan AssesionArabicaRobusta,Washed,Dark,Nutty Chocolate Cocoa Berry
"Daterra, Brazil",Ethiopia,Cast Iron,Ethiopia / Sudan AssesionArabica,Washed,Medium Dark,Vanilla Sweet Fruity
Capitol,Colombia,Wogan Coffee,CastilloColombiaCaturraTypica,Washed,Medium Dark,Strawberry Pomegranate
Honduras Guacamayas,Ethiopia,Carringtons Coffee Co,JARC 74110JARC 74112,"Natural, Anaerobic or Macerated",Green,Caramelized Sweet Cherry Lemon Citrus  Fruit
Colombia Mountain Water Decaffeinated,Costa Rica,Naked Roaster,Bourbon,Washed,Medium,Dark  Chocolate Berry
Kambarare Ab Anaerobic,Ethiopia,Colonna,Villa SarchiColombiaBourbonTypicaCatimor / Ateng,Washed,Medium,Chocolate Caramelized Berry
Burundi Izuba Nº 149,Ethiopia,Rave,Mundo Novo,Washed,Light,Spices Dark  Chocolate Fresh Woody
Half Caf,India,Bristol Twenty,CaturraPache ComumBourbonTypicaCatuai,"Natural, Anaerobic or Macerated",Light,Honey Black  Tea Lemon
Organic Christmas Blend,Honduras,Quirky Coffee Co,ColombiaCaturra,"Natural, Anaerobic or Macerated",Medium,Nutty Maple  Syrup Raisin
Colombia El Carmen Nº 50,Uganda,Rave,TypicaLempiraObataCatuai,Washed,Medium Dark,Chocolate Maple  Syrup Citrus  Fruit
Indonesia Coffee (da Vinci),Brazil,Art & Coffee,Arabica,Natural,Green,Roasted Anise Nutty Honey Sweet  Aromatic Sweet Berry Orange Fruity Herb like
Ethiopia: Edition 22.071,Brazil,Hasbean,Arabica,"Natural, Monsooned",Medium Light,Nutmeg Chocolate Maple  Syrup Sweet Blackberry Raspberry Fruity
El Salvador El Molinito - Whole & Ground Roasted Coffee Beans,Colombia,Copper,Ethiopia / Sudan Assesion,Washed,Dark,Vanilla Sweet Peach Lemon
Peruvian Specialty Coffee - Cafe Femenino,Honduras,The Flat Cap,Arabica,"DecafWashed, Sugarcane (E.A.)",Medium,Roasted Nutty Caramelized
Brazil - Sitio Ipê,Colombia,Roastery Hope Coffee,Caturra,"DecafWashed, Swiss Water",Dark,Chocolate Dark  Chocolate Sweet Citrus  Fruit
Guatemala Coatitlan - Whole & Ground Roasted Guatemalan Coffee Beans,Kenya,Copper,GimmaRobiaceae Coffea,Washed,Medium,Roasted Sour
Mandela Hybrid Washed Colombia,Burundi,Cast Iron,Ruiru 11SL-34BatianSL-28,"DecafWashed, Sugarcane (E.A.)",Light,Sweet Fruity
Honduran,Peru,Clumsy Goat,SL-34,Washed,Medium,Clove
Brazilian Blend Coffee Beans,Brazil,Presto,Nyasaland,"Natural, Anaerobic or Macerated",Green,Nutty Vanilla Pineapple Other  Fruit Grapefruit Citrus  Fruit
"Daterra, Brazil",Indonesia,Cast Iron,Typica,"DecafWashed, Mountain Water",Medium,Vanilla Sweet Fruity
Green Coffee Beans,Honduras,York Emporium,Ethiopia / Sudan AssesionTypicaArabicaKaffa,Washed,Medium Dark,Clove Chocolate Prune
"Adola, Ethiopia",Ethiopia,Cast Iron,Arabica,,Dark,Roasted Floral
Sumatra Mandheling Coffee,Honduras,York Emporium,ArabicaKent,,Medium,Cocoa Floral Floral Lemon Citrus  Fruit
Fairtrade Costa Rica Medium,Ethiopia,John Watt And Son,Red Bourbon,,Dark,Roasted Nutty
Ethiopia – Genji Challa,Colombia,TCC,TypicaArabica,,Medium,Roasted Molasses Caramelized Vanilla Other  Fruit Citrus  Fruit
Beggar’s Bridge – Kenya,Indonesia,Seven Districts,Colombia,,Medium,Hazelnut Dark  Chocolate Molasses Caramelized
Kambarare Ab Anaerobic,Ethiopia,Colonna,ColombiaBourbonArabicaHybrido de Timor,,Green,Spices Nutty Chocolate
Uganda Bugisu,El Salvador,Naked Roaster,Colombia,,Medium,Roasted Dark  Chocolate Vanilla Sweet Floral Grapefruit Fruity
Laos Phetlamaka - Cm Natural Coffee,Peru,Chipp Coffee,Arabica,,Medium Light,Hazelnut Chocolate Caramelized Sweet
Ethiopian Sidamo,Brazil,Naked Roaster,Catuai,,Dark,Roasted Nutty Dark  Chocolate Lemon
Green Kenya Coffee Beans 900g,Guatemala,Art & Coffee,Mundo NovoBourbonTypica,,,Molasses Caramelized Sweet Floral Floral Orange Citrus  Fruit
Costa Rica - Santa Anita Estate,Colombia,Roastery Hope Coffee,CastilloColombia,,,Roasted Honey
Jailbreak: Red Blend,Honduras,Hasbean,,,,Roasted Nutty
Indian Monsooned Malabar,Brazil,Bristol Twenty,,,,Caramelized Other  Fruit
Kabyiniro - Rwanda,Brazil,Foundry Coffee Roasters,,,,Nutty Chocolate Caramelized Brown  Sugar Sweet Citrus  Fruit Fruity Winey
The Washington Poe Blend,Ethiopia,John Watt And Son,,,,Caramelized Apple Orange
Swd Brazil Decaf,Indonesia,Naked Roaster,,,,Dark  Chocolate Raisin
Morning Coffee Blend - Dark Roast Colombian & Vietnamese Coffee Beans,Costa Rica,Copper,,,,Maple  Syrup Sweet Jasmine Other  Fruit Orange Lime Citrus  Fruit Fruity
Peru El Guayacan,Ethiopia,Naked Roaster,,,,Sweet Floral Dried  Fruit Other  Fruit Fruity
Kilo Bags Of Coffee,Kenya,Sacred Grounds,,,,Nutty Sweet Other  Fruit
Green Colombia Coffee Beans 900g,Kenya,Art & Coffee,,,,Honey Orange
Blind Byard Specialty Coffee Pods,Ethiopia,Seven Districts,CastilloColombiaCaturra,Washed,Medium,Cocoa Caramelized Apple
"Espresso/ Filter - Sidamo, Ethiopia - Blood Orange - Apricot - Maple Syrup",Colombia,Carnival,Robiaceae Coffea,Washed,Dark,Caramelized Overall  Sweet Raspberry
"Yenni Esperanza, Colombia, Thermal Shock",Colombia,Girls Who Grind Coffee,Castillo,Washed,Medium,Roasted Anise Chocolate Floral Citrus  Fruit
Colombia: Edition 22.058,Brazil,Hasbean,Caturra,Washed,Dark,Chocolate Brown  Sugar Orange
