,coffee_title,coffee_origin,roaster_name,variety,production,roast_level,flavour
120,Luis Anibal - Colombia,Vietnam,Foundry Coffee Roasters,SL-14SL-28,"DecafWashed, Swiss Water",Medium,GrainCinnamonCloveSpicesNutty/CocoaMolassesCaramelizedHoneySweetOther FruitCitrus Fruit
121,El Salavdor El Molinito Shg Ep,Colombia,Bristol Twenty,Robiaceae Coffea,Washed,Omni,CaramelizedBerryFruity
122,Ethiopian Rocko Mountain Natural,El Salvador,York Emporium,Arabica,Natural,MediumOmni,Dark ChocolateStrawberryBerryPeach
123,Half The Caffeine,Ethiopia,Wogan Coffee,BourbonCatuai,Washed,Espresso,NuttyCocoaSweetFloralOrange
124,Uganda Mahango,Nicaragua,Django Coffee Co,CaturraBourbon,Honey,Medium Light,BlueberryCherryOther Fruit
125,Organic Decaf Coffee,Honduras,Horsham,Tabi,Washed,Omni,NuttyChocolateFruity
126,Seasonal Espresso Blend - Lavender Hill,Uganda,Sendero,Yellow CatuaiCaturra,Washed,Medium,ChocolateFruity
127,Decaffeinated Swiss Water Brazillian Arabica Roasted Coffee,Guatemala,White Rose,CastilloColombia,Washed,Medium DarkOmni,NuttyChocolateNutty/CocoaMaple SyrupVanillaSweet
128,Fairtrade High Mountain Blend,Mexico,John Watt And Son,Villa SarchiCaturraCatuai,Washed,Medium,ChocolateCitrus FruitFruity
129,"Ana, Cris And Renata, Brazil, Natural",Uganda,Girls Who Grind Coffee,CaturraBourbonTypica,Decaf,Medium,RoastedHazelnutNutty/CocoaVanillaSweetFloralFruity
130,Nicaragua Santa Maria Natrual,Guatemala,York Emporium,Robiaceae Coffea,Honey,Medium DarkEspresso,ChocolateCherryPeach
131,Buenos-Aires,Brazil,Pact,ColombiaArabica,Honey,Omni,Other Fruit
132,Costa Rica: Edition 22.070,Costa Rica,Hasbean,BourbonSL-34SL-28Kent,"DecafWashed, Swiss Water",Omni,HoneyOverall SweetSweetOther Fruit
133,Peru San Ignacio Medium Roast,Colombia,Pebble and Pine,Yellow CatuaiCaturraRed Catuai,Washed,Omni,RoastedSpicesNuttyChocolateSweetDried FruitPeachFruityWhiskey
134,Blended Specialty Coffee - No 2 Blend -1571,Brazil,The Flat Cap,CastilloColombiaCaturra,"DecafWashed, Swiss Water",Omni,ChocolateCaramelizedVanillaFruity
135,Espresso Blend (mondrian),Nicaragua,Art & Coffee,SL-28,"DecafWashed, Sugarcane (E.A.)",DarkOmni,SpicesDark ChocolateMolassesCaramelizedBitter
136,Kenyan Specialty Coffee - Zawadi Peaberry,Colombia,The Flat Cap,CaturraCatuai,Washed,Omni,ChocolateSweetRaisin
137,Nicaraguan La Bastilla P3,Costa Rica,Wogan Coffee,CaturraPache ComumBourbonTypica,Natural,MediumOmni,HazelnutDark ChocolateNutty/CocoaVanillaFloralCitrus Fruit
138,"Decaf - Colombia, Chaparral",Peru,Sacred Grounds,KaffaJARC 74158,"DecafWashed, Sugarcane (E.A.)",Filter,Roasted
139,Kenya Kariti Aa,Nicaragua,Wogan Coffee,CastilloColombiaCaturra,Natural,Omni,HoneySweetRoseBerryOrange
140,"Aracelly Robles, Costa Rica, Honey, Part 3",Honduras,Girls Who Grind Coffee,SL-28,Washed,Medium,NutmegHazelnutDark ChocolateHoneyRaisinFruity
141,Omega,Colombia,Wogan Coffee,Robiaceae Coffea,Washed,MediumOmni,VanillaSweetFloralPeachCitrus FruitFruity
142,Machu Picchu – Swiss Water Decaffeinated,Indonesia,Bristol Twenty,CastilloColombiaCaturra,"Natural, Monsooned",Medium,PomegranatePineappleOther FruitLemonLimeCitrus FruitFruity
143,"Ethiopia, Sidama",Colombia,Symposium Coffee,Ethiopia / Sudan Assesion,Natural,Medium,JasmineFloralStrawberryPeach
144,Guatemala Decaffeinated - Whole & Ground Roasted Coffee Beans,Kenya,Copper,SL-28,Washed,Medium,RoastedNuttyChocolateCaramelized
145,Sans Decaf,Nicaragua,Mission Coffee Works,JARC 74110JARC 74112,Natural,Omni,ChocolateMolassesCaramelizedPeach
146,Kenya Peaberry Arabica Roasted Coffee,Colombia,White Rose,Ethiopia / Sudan AssesionArabicaRobiaceae Coffea,"DecafWashed, Mountain Water",Espresso,ChocolateSweetBerryRaisinCherry
147,Ethiopian Sidamo,Kenya,Clumsy Goat,TypicaArabica,"Natural, Anaerobic or Macerated",MediumFilter,PeachLemonCitrus Fruit
148,Popayán (decaf) - Colombia,Costa Rica,Foundry Coffee Roasters,Arabica,Natural,Medium DarkEspresso,ChocolateCaramelizedSweetFloralFloralOrangeCitrus Fruit
149,Ethiopian Yirgacheffe Coffee,Mexico,York Emporium,Arabica,Washed,Omni,Nutty/CocoaVanillaCitrus Fruit
150,Costa Rica: Edition 22.042,Peru,Hasbean,ColombiaCaturraBourbonTypicaCatuai,Wet Hulled,LightOmni,Brown SugarBlackberryDried FruitLimeWhiskey
151,Ethiopia: Edition 22.071,Honduras,Hasbean,Robiaceae Coffea,Washed,Omni,HoneyBlack TeaLemon
152,Ethiopian Yiracheffe,Ethiopia,Bristol Twenty,ColombiaArabica,Washed,Filter,BlackberryBerryGrapePeachLemonLime
153,India Monsoon Malabar Medium/Dark Roast,Guatemala,Pebble and Pine,SL-34,Washed,MediumFilter,CinnamonSpicesDark ChocolateCitrus FruitMusty/Earthy
154,Cattle Market  Arabica Roasted Coffee,Colombia,White Rose,Red Bourbon,Honey,DarkOmni,RoastedChocolateNutty/CocoaCaramelizedVanillaSweetOrangeLemon
155,"Bukonzo Dream, Uganda",Kenya,Cast Iron,Ethiopia / Sudan AssesionArabicaRobusta,Washed,Espresso,ChocolateSweetPeachOther Fruit
156,"Daterra, Brazil",Ethiopia,Cast Iron,Ethiopia / Sudan AssesionArabica,Washed,Medium Dark,ChocolateDark ChocolateSweetCitrus Fruit
157,Capitol,Colombia,Wogan Coffee,CastilloColombiaCaturraTypica,Washed,Medium DarkOmni,AlmondChocolateVanillaOrangeFruity
158,Honduras Guacamayas,Ethiopia,Carringtons Coffee Co,JARC 74110JARC 74112,"Natural, Anaerobic or Macerated",Green,RoastedNutmegLemonFresh
159,Colombia Mountain Water Decaffeinated,Costa Rica,Naked Roaster,Bourbon,Washed,Omni,NuttyChocolateCocoaBerry
160,Kambarare Ab Anaerobic,Ethiopia,Colonna,Villa SarchiColombiaBourbonTypicaCatimor / Ateng,Washed,Omni,VanillaSweetFruity
161,Burundi Izuba Nº 149,Ethiopia,Rave,Mundo Novo,Washed,Filter,StrawberryPomegranate
162,Half Caf,India,Bristol Twenty,CaturraPache ComumBourbonTypicaCatuai,"Natural, Anaerobic or Macerated",Light,CaramelizedSweetCherryLemonCitrus Fruit
163,Organic Christmas Blend,Honduras,Quirky Coffee Co,ColombiaCaturra,"Natural, Anaerobic or Macerated",Medium,Dark ChocolateBerry
164,Colombia El Carmen Nº 50,Uganda,Rave,TypicaLempiraObataCatuai,Washed,Medium DarkFilter,ChocolateCaramelizedBerry
165,Indonesia Coffee (da Vinci),Brazil,Art & Coffee,Arabica,Natural,Green,SpicesDark ChocolateFreshWoody
166,Ethiopia: Edition 22.071,Brazil,Hasbean,Arabica,"Natural, Monsooned",Medium LightEspresso,HoneyBlack TeaLemon
167,El Salvador El Molinito - Whole & Ground Roasted Coffee Beans,Colombia,Copper,Ethiopia / Sudan Assesion,Washed,Dark,NuttyMaple SyrupRaisin
168,Peruvian Specialty Coffee - Cafe Femenino,Honduras,The Flat Cap,Arabica,"DecafWashed, Sugarcane (E.A.)",Medium,ChocolateMaple SyrupCitrus Fruit
169,Brazil - Sitio Ipê,Colombia,Roastery Hope Coffee,Caturra,"DecafWashed, Swiss Water",Espresso,RoastedAniseNuttyHoneySweet AromaticSweetBerryOrangeFruityHerb-like
170,Guatemala Coatitlan - Whole & Ground Roasted Guatemalan Coffee Beans,Kenya,Copper,GimmaRobiaceae Coffea,Washed,Omni,NutmegChocolateMaple SyrupSweetBlackberryRaspberryFruity
171,Mandela Hybrid Washed Colombia,Burundi,Cast Iron,Ruiru 11SL-34BatianSL-28,"DecafWashed, Sugarcane (E.A.)",Light,VanillaSweetPeachLemon
172,Honduran,Peru,Clumsy Goat,SL-34,Washed,Omni,RoastedNuttyCaramelized
173,Brazilian Blend Coffee Beans,Brazil,Presto,Nyasaland,"Natural, Anaerobic or Macerated",Green,ChocolateDark ChocolateSweetCitrus Fruit
174,"Daterra, Brazil",Indonesia,Cast Iron,Typica,"DecafWashed, Mountain Water",Omni,RoastedSour
175,Green Coffee Beans,Honduras,York Emporium,Ethiopia / Sudan AssesionTypicaArabicaKaffa,Washed,Medium Dark,SweetFruity
176,"Adola, Ethiopia",Ethiopia,Cast Iron,Arabica,,DarkOmni,Clove
177,Sumatra Mandheling Coffee,Honduras,York Emporium,ArabicaKent,,MediumOmni,NuttyVanillaPineappleOther FruitGrapefruitCitrus Fruit
178,Fairtrade Costa Rica Medium,Ethiopia,John Watt And Son,Red Bourbon,,Dark,VanillaSweetFruity
179,Ethiopia – Genji Challa,Colombia,TCC,TypicaArabica,,Omni,CloveChocolatePrune
180,Beggar’s Bridge – Kenya,Indonesia,Seven Districts,Colombia,,Omni,RoastedFloral
181,Kambarare Ab Anaerobic,Ethiopia,Colonna,ColombiaBourbonArabicaHybrido de Timor,,Green,CocoaFloralFloralLemonCitrus Fruit
182,Uganda Bugisu,El Salvador,Naked Roaster,Colombia,,Omni,RoastedNutty
183,Laos Phetlamaka - Cm Natural Coffee,Peru,Chipp Coffee,Arabica,,Medium LightOmni,RoastedMolassesCaramelizedVanillaOther FruitCitrus Fruit
184,Ethiopian Sidamo,Brazil,Naked Roaster,Catuai,,DarkEspresso,HazelnutDark ChocolateMolassesCaramelized
185,Green Kenya Coffee Beans 900g,Guatemala,Art & Coffee,Mundo NovoBourbonTypica,,,SpicesNuttyChocolate
186,Costa Rica - Santa Anita Estate,Colombia,Roastery Hope Coffee,CastilloColombia,,,RoastedDark ChocolateVanillaSweetFloralGrapefruitFruity
187,Jailbreak: Red Blend,Honduras,Hasbean,,,,HazelnutChocolateCaramelizedSweet
188,Indian Monsooned Malabar,Brazil,Bristol Twenty,,,,RoastedNuttyDark ChocolateLemon
189,Kabyiniro - Rwanda,Brazil,Foundry Coffee Roasters,,,,MolassesCaramelizedSweetFloralFloralOrangeCitrus Fruit
190,The Washington Poe Blend,Ethiopia,John Watt And Son,,,,RoastedHoney
191,Swd Brazil Decaf,Indonesia,Naked Roaster,,,,RoastedNutty
192,Morning Coffee Blend - Dark Roast Colombian & Vietnamese Coffee Beans,Costa Rica,Copper,,,,CaramelizedOther Fruit
193,Peru El Guayacan,Ethiopia,Naked Roaster,,,,NuttyChocolateCaramelizedBrown SugarSweetCitrus FruitFruityWiney
194,Kilo Bags Of Coffee,Kenya,Sacred Grounds,,,,CaramelizedAppleOrange
195,Green Colombia Coffee Beans 900g,Kenya,Art & Coffee,,,,Dark ChocolateRaisin
196,Nicaragua Pineapple Candy Arabica Roasted Coffee,Uganda,White Rose,,,,
